task_seed,task_id,acid_type,difficulty,direction,pka_family,true_pair_count,true_concentration_m,initial_volume_ml,initial_ph,target_ph,true_success,strict_success,severe_failure,measured_success,false_stop,steps,overshoots,final_abs_error,total_volume_ml,acid_added_ml,base_added_ml,final_true_ph,final_measured_ph,stop_reason,suite,method,training_seed
510001,30,triprotic,medium,base,separated,3,0.09409505171361357,15.795627139135657,3.653,5.327,1,0,0,1,0,10,0,0.08710257453937409,16.4,0.0,16.4,5.239897425460626,5.24,measured_success,nominal_locked,teacher,0
510001,31,triprotic,medium,acid,separated,3,0.07471212877096182,14.705406413149511,3.59,2.168,1,1,0,1,0,3,0,0.046570619058371676,6.800000000000001,6.800000000000001,0.0,2.214570619058372,2.21,measured_success,nominal_locked,teacher,0
510001,32,diprotic,medium,base,separated,2,0.1065220550161962,11.43189204404987,6.65,7.854,1,1,0,1,0,10,7,0.04264415673084354,7.76,3.54,4.22,7.896644156730844,7.9,measured_success,nominal_locked,teacher,0
510001,33,triprotic,far,base,separated,3,0.15050594499785677,10.178352735835263,6.316,9.233,1,1,0,1,0,9,6,0.00013443975722893242,17.22,3.9299999999999997,13.290000000000001,9.232865560242772,9.23,measured_success,nominal_locked,teacher,0
510001,34,diprotic,near,acid,separated,2,0.03165326688327427,13.527654257364787,2.431,2.019,1,0,0,1,0,1,1,0.06077179346252315,2.33,2.33,0.0,1.958228206537477,1.96,measured_success,nominal_locked,teacher,0
510001,35,triprotic,near,acid,overlapping,3,0.04795490824278645,8.059554131752694,2.259,1.678,1,0,0,1,0,3,0,0.06543424064493886,3.91,3.91,0.0,1.7434342406449388,1.74,measured_success,nominal_locked,teacher,0
510001,36,monoprotic,near,acid,single,1,0.043432832398010206,10.46842873100482,2.714,2.356,1,0,0,1,0,2,2,0.07330353746886598,2.03,1.46,0.57,2.429303537468866,2.43,measured_success,nominal_locked,teacher,0
510001,37,monoprotic,medium,acid,single,1,0.12626959595115197,15.12084134344176,4.995,3.603,1,1,0,1,0,1,1,0.00024292982442686295,4.42,4.42,0.0,3.6027570701755733,3.6,measured_success,nominal_locked,teacher,0
510001,38,diprotic,near,acid,overlapping,2,0.14122192010989226,14.882828042979568,3.813,3.364,1,0,0,1,0,4,0,0.09411491738256217,4.680000000000001,4.680000000000001,0.0,3.458114917382562,3.46,measured_success,nominal_locked,teacher,0
510001,39,monoprotic,far,base,single,1,0.05072367349148916,11.396564623854399,4.185,6.497,1,1,0,1,0,9,7,0.04253376230226813,12.239999999999998,3.7,8.54,6.539533762302268,6.54,measured_success,nominal_locked,teacher,0
510001,40,monoprotic,medium,acid,single,1,0.0310812244320318,15.841249818338532,3.584,2.376,1,1,0,1,0,2,1,0.04231320643759551,4.41,3.94,0.47,2.3336867935624044,2.33,measured_success,nominal_locked,teacher,0
510001,41,diprotic,medium,acid,separated,2,0.03418333520154569,13.486165926983938,4.58,2.893,1,0,0,1,0,2,1,0.09552007303499188,6.88,4.67,2.21,2.797479926965008,2.8,measured_success,nominal_locked,teacher,0
510001,42,monoprotic,medium,acid,single,1,0.09393775519254695,8.060305701411961,5.158,3.53,1,0,0,1,0,9,7,0.05116060139680334,10.419999999999998,6.199999999999999,4.22,3.4788393986031965,3.48,measured_success,nominal_locked,teacher,0
510001,43,diprotic,near,acid,separated,2,0.0710225393450912,13.840827736853658,3.454,3.137,1,0,0,1,0,1,1,0.0538147162644278,2.28,2.28,0.0,3.083185283735572,3.08,measured_success,nominal_locked,teacher,0
510001,44,monoprotic,far,acid,single,1,0.12347956369712436,11.232506343658983,6.888,3.792,1,0,0,1,0,9,7,0.09168350963686045,13.830000000000002,10.450000000000001,3.38,3.7003164903631394,3.7,measured_success,nominal_locked,teacher,0
510001,45,diprotic,far,base,separated,2,0.04188646081883959,14.423973747152878,3.292,7.141,1,1,0,1,0,10,7,0.04313332229810918,20.169999999999998,6.71,13.459999999999999,7.184133322298109,7.18,measured_success,nominal_locked,teacher,0
510001,46,diprotic,medium,base,separated,2,0.08397448828864433,14.802460707337818,7.612,9.369,1,0,0,1,0,6,4,0.07924335456881693,11.440000000000001,4.9,6.54,9.289756645431183,9.29,measured_success,nominal_locked,teacher,0
510001,47,monoprotic,far,base,single,1,0.05058662222715463,10.347862959309579,6.665,10.657,1,1,0,1,0,8,5,0.00855993502560537,19.0,7.6,11.399999999999999,10.665559935025605,10.67,measured_success,nominal_locked,teacher,0
510001,48,monoprotic,medium,acid,single,1,0.032229697631935554,10.737101665854658,6.545,4.574,1,0,0,1,0,13,8,0.07105090507548972,13.86,7.83,6.029999999999999,4.64505090507549,4.65,measured_success,nominal_locked,teacher,0
510001,49,monoprotic,far,base,single,1,0.04957985363732935,15.070558867688892,3.171,6.37,0,0,0,0,0,50,46,0.45039654120023,23.139999999999993,10.349999999999998,12.789999999999996,5.91960345879977,5.92,max_steps,nominal_locked,teacher,0
510001,50,diprotic,medium,base,separated,2,0.10564666481950373,8.14263009815932,4.781,6.351,1,1,0,1,0,4,1,0.03609737692509629,11.34,1.18,10.16,6.387097376925096,6.39,measured_success,nominal_locked,teacher,0
510001,51,triprotic,far,acid,separated,3,0.06521679790392762,11.898130786240568,4.476,1.818,1,0,0,1,0,6,0,0.09688673375452028,18.44,18.44,0.0,1.9148867337545203,1.91,measured_success,nominal_locked,teacher,0
510001,52,triprotic,near,base,separated,3,0.03884718980396756,12.298833837723063,6.882,7.545,1,0,0,1,0,2,2,0.06383403934515997,2.4699999999999998,0.49,1.98,7.48116596065484,7.48,measured_success,nominal_locked,teacher,0
510001,53,triprotic,far,base,separated,3,0.14397364413881675,15.53121040562946,6.577,8.762,1,1,0,1,0,12,9,0.02613703070369411,11.83,3.6300000000000003,8.2,8.788137030703695,8.79,measured_success,nominal_locked,teacher,0
510001,54,triprotic,medium,base,separated,3,0.03104228413305606,14.612180756503236,3.57,5.489,1,0,0,1,0,2,1,0.0664453811910688,6.79,0.0,6.79,5.555445381191069,5.56,measured_success,nominal_locked,teacher,0
510001,55,triprotic,near,base,separated,3,0.11774826408427154,14.410404734910285,5.013,5.514,1,0,0,1,0,4,0,0.08741933800234758,3.02,0.0,3.02,5.426580661997653,5.43,measured_success,nominal_locked,teacher,0
510001,56,triprotic,near,base,separated,3,0.07941947384688286,13.07967588094902,3.016,3.31,1,1,0,1,0,2,0,0.0004429184015921628,1.63,0.0,1.63,3.310442918401592,3.31,measured_success,nominal_locked,teacher,0
510001,57,monoprotic,medium,base,single,1,0.03133286947256236,11.402100947442587,4.146,4.956,1,0,0,1,0,2,2,0.09939640751180345,4.12,1.37,2.75,4.856603592488197,4.86,measured_success,nominal_locked,teacher,0
510001,58,diprotic,medium,base,separated,2,0.05863866942690146,9.752859373268102,5.057,6.466,1,1,0,1,0,4,3,0.028457546085991048,6.9,2.3000000000000003,4.6000000000000005,6.494457546085991,6.49,measured_success,nominal_locked,teacher,0
510001,59,diprotic,near,acid,overlapping,2,0.051577652819164745,9.659639608899461,3.613,2.926,1,1,0,1,0,8,4,0.03835034492481704,5.26,2.92,2.3400000000000003,2.964350344924817,2.96,measured_success,nominal_locked,teacher,0
510001,60,monoprotic,medium,base,single,1,0.05094129139218779,15.911779762486226,6.726,7.659,1,0,0,1,0,2,1,0.07464065617902538,2.6399999999999997,0.24,2.4,7.733640656179025,7.73,measured_success,nominal_locked,teacher,0
510001,61,diprotic,medium,base,separated,2,0.05290730384497862,8.003906143615964,7.304,8.415,1,0,0,1,0,2,2,0.07434936643340251,4.82,1.6,3.22,8.340650633566597,8.34,measured_success,nominal_locked,teacher,0
510001,62,monoprotic,far,acid,single,1,0.11134137451853404,13.45944794168126,4.75,1.85,1,0,0,1,0,5,0,0.061626351769421106,16.169999999999998,16.169999999999998,0.0,1.9116263517694212,1.91,measured_success,nominal_locked,teacher,0
510001,63,triprotic,near,acid,overlapping,3,0.042282312685328394,15.89535749627558,2.254,1.814,1,0,0,1,0,3,0,0.07509478317120521,3.36,3.36,0.0,1.8890947831712053,1.89,measured_success,nominal_locked,teacher,0
510001,64,triprotic,near,acid,separated,3,0.1359637450440819,15.358130715811104,5.018,4.802,1,0,0,1,0,3,0,0.09070499057210846,1.32,1.32,0.0,4.892704990572108,4.89,measured_success,nominal_locked,teacher,0
510001,65,triprotic,far,base,overlapping,3,0.037866781182165826,8.622433447114716,4.064,6.259,1,1,0,1,0,10,6,0.011953446364756815,13.520000000000001,6.23,7.290000000000001,6.2470465536352435,6.25,measured_success,nominal_locked,teacher,0
510001,66,triprotic,near,base,overlapping,3,0.032126847567600106,10.051023859249465,3.512,4.036,1,0,0,1,0,2,1,0.08659924722229206,3.03,0.0,3.03,4.122599247222292,4.12,measured_success,nominal_locked,teacher,0
510001,67,monoprotic,far,base,single,1,0.03659646127402541,11.65845923894184,3.106,5.421,0,0,0,0,0,50,45,0.14635265155581845,17.34999999999999,7.879999999999996,9.469999999999995,5.567352651555819,5.57,max_steps,nominal_locked,teacher,0
510001,68,triprotic,far,base,separated,3,0.1325827628826864,15.896585738634919,5.052,7.366,1,0,0,1,0,12,1,0.06661560289022539,24.619999999999994,0.77,23.849999999999994,7.432615602890225,7.43,measured_success,nominal_locked,teacher,0
510001,69,triprotic,medium,base,separated,3,0.09634123132003858,10.162416710035423,4.722,6.656,1,1,0,1,0,11,8,0.024013920270641087,11.45,3.7099999999999995,7.74,6.631986079729359,6.63,measured_success,nominal_locked,teacher,0
510001,70,monoprotic,medium,base,single,1,0.03307301161124354,11.89044934515459,2.997,4.516,1,0,0,1,0,10,8,0.05291999223254784,9.49,4.42,5.07,4.463080007767452,4.46,measured_success,nominal_locked,teacher,0
510001,71,monoprotic,medium,base,single,1,0.038643845697970136,13.09268165908812,2.365,3.708,1,1,0,1,0,2,1,0.04364303002164949,3.77,0.0,3.77,3.7516430300216497,3.75,measured_success,nominal_locked,teacher,0
510001,72,monoprotic,far,acid,single,1,0.07603739907728327,9.70426453613363,7.397,4.639,0,0,0,0,0,50,46,0.19035119983392956,15.909999999999991,8.499999999999996,7.409999999999995,4.82935119983393,4.83,max_steps,nominal_locked,teacher,0
510001,73,diprotic,far,acid,separated,2,0.05831446757838838,12.757181932174698,5.106,2.591,1,1,0,1,0,4,2,0.03693977597059739,11.110000000000001,10.790000000000001,0.32,2.6279397759705976,2.63,measured_success,nominal_locked,teacher,0
510001,74,monoprotic,near,base,single,1,0.031458041082427605,11.342802967467215,2.53,2.832,1,1,0,1,0,1,1,0.049251689303875246,0.79,0.0,0.79,2.881251689303875,2.88,measured_success,nominal_locked,teacher,0
510001,75,diprotic,medium,base,separated,2,0.08633864993744114,10.754257024575843,2.427,3.928,1,0,0,1,0,3,0,0.08776462949649577,4.96,0.0,4.96,3.840235370503504,3.84,measured_success,nominal_locked,teacher,0
510001,76,monoprotic,medium,acid,single,1,0.12654131362277163,14.595257091638725,4.117,2.606,1,1,0,1,0,5,1,0.005127174814123947,13.469999999999999,13.469999999999999,0.0,2.600872825185876,2.6,measured_success,nominal_locked,teacher,0
510001,77,monoprotic,medium,base,single,1,0.03738264700428384,15.69208634529317,3.397,4.741,1,0,0,1,0,5,4,0.07228146578980876,6.32,1.33,4.99,4.668718534210191,4.67,measured_success,nominal_locked,teacher,0
510001,78,diprotic,medium,acid,separated,2,0.042603968665567225,14.51420953094403,3.305,1.84,1,0,0,1,0,2,1,0.0759678448433998,4.760000000000001,4.36,0.4,1.7640321551566003,1.76,measured_success,nominal_locked,teacher,0
510001,79,triprotic,medium,base,separated,3,0.08948860680741791,14.142467696107444,1.835,2.689,1,0,0,1,0,7,0,0.08202544595004202,7.250000000000001,0.0,7.250000000000001,2.606974554049958,2.61,measured_success,nominal_locked,teacher,0
510001,80,monoprotic,near,acid,single,1,0.14593141227607687,13.62835868002758,6.839,6.279,1,0,0,1,0,1,0,0.06891553015823071,2.86,2.86,0.0,6.347915530158231,6.35,measured_success,nominal_locked,teacher,0
510001,81,diprotic,far,acid,separated,2,0.03025398227410255,11.854101461017736,5.421,2.415,1,1,0,1,0,3,2,0.016551649081190334,8.94,7.38,1.56,2.4315516490811904,2.43,measured_success,nominal_locked,teacher,0
510001,82,monoprotic,far,base,single,1,0.06825967435800576,15.648747269657205,5.873,8.759,1,1,0,1,0,8,3,0.0027229625510969413,15.239999999999998,2.7199999999999998,12.52,8.761722962551097,8.76,measured_success,nominal_locked,teacher,0
510001,83,diprotic,far,base,separated,2,0.05997127143175049,12.968987255602315,4.576,8.45,1,0,0,1,0,15,9,0.054955445066742215,17.39,2.9399999999999995,14.45,8.504955445066742,8.5,measured_success,nominal_locked,teacher,0
510001,84,triprotic,medium,acid,separated,3,0.0720133327216766,13.989335629352551,5.415,3.994,1,0,0,1,0,3,0,0.08206876595570867,7.54,7.54,0.0,4.076068765955709,4.08,measured_success,nominal_locked,teacher,0
510001,85,triprotic,medium,acid,separated,3,0.12946592481558092,15.516098670505546,5.176,3.945,1,0,0,1,0,10,0,0.09036896151869955,12.9,12.9,0.0,4.035368961518699,4.04,measured_success,nominal_locked,teacher,0
510001,86,triprotic,near,acid,separated,3,0.06829109333691742,9.918995833083368,6.69,6.238,1,0,0,1,0,2,2,0.05362611956092689,1.7999999999999998,1.2,0.6,6.291626119560927,6.29,measured_success,nominal_locked,teacher,0
510001,87,monoprotic,near,base,single,1,0.030459276371918382,9.011323015992357,6.257,6.781,1,0,0,1,0,4,3,0.06201761821461016,7.33,3.26,4.07,6.84301761821461,6.84,measured_success,nominal_locked,teacher,0
510001,88,monoprotic,medium,acid,single,1,0.14301630808355167,9.72761313350223,7.99,6.307,1,1,0,1,0,4,1,0.02998765143976101,9.280000000000001,9.280000000000001,0.0,6.277012348560239,6.28,measured_success,nominal_locked,teacher,0
510001,89,triprotic,medium,base,overlapping,3,0.11841534355573777,11.979472511729973,3.383,4.801,1,0,0,1,0,12,0,0.0622495354806194,22.23,0.0,22.23,4.738750464519381,4.74,measured_success,nominal_locked,teacher,0
510001,90,triprotic,medium,base,separated,3,0.15919688764788933,11.490980564473357,2.989,4.939,1,0,0,1,0,13,0,0.09561388196038756,22.48,0.0,22.48,4.8433861180396125,4.84,measured_success,nominal_locked,teacher,0
510001,91,monoprotic,near,base,single,1,0.045610625271846866,12.45967942360231,4.527,4.763,1,0,0,1,0,2,2,0.07488229660471113,0.9099999999999999,0.3,0.61,4.688117703395289,4.69,measured_success,nominal_locked,teacher,0
510001,92,triprotic,near,acid,separated,3,0.03662062113845103,14.814060866275401,4.527,4.159,1,0,0,1,0,3,1,0.06763109635925257,4.1899999999999995,3.11,1.08,4.091368903640747,4.09,measured_success,nominal_locked,teacher,0
510001,93,diprotic,medium,acid,separated,2,0.04698564962934715,14.69130694289877,4.167,2.834,1,1,0,1,0,3,0,0.00869310525316136,7.42,7.42,0.0,2.8426931052531614,2.84,measured_success,nominal_locked,teacher,0
510001,94,monoprotic,near,acid,single,1,0.0518021433986586,11.23390167633711,4.924,4.229,1,1,0,1,0,2,1,0.023177996460103323,3.84,2.82,1.02,4.205822003539897,4.21,measured_success,nominal_locked,teacher,0
510001,95,monoprotic,near,base,single,1,0.17301499317558644,13.014728558639971,7.538,7.927,1,0,0,1,0,2,1,0.05322767477188606,4.09,0.0,4.09,7.980227674771886,7.98,measured_success,nominal_locked,teacher,0
510001,96,triprotic,near,acid,separated,3,0.06160826660532193,14.099316122940479,2.118,1.855,1,1,0,1,0,1,1,0.008657523236467846,2.67,2.67,0.0,1.8463424767635321,1.85,measured_success,nominal_locked,teacher,0
510001,97,monoprotic,near,base,single,1,0.10090900138956127,13.09900890485626,4.788,5.383,1,1,0,1,0,5,4,4.3967788040610856e-05,2.8800000000000003,0.77,2.1100000000000003,5.383043967788041,5.38,measured_success,nominal_locked,teacher,0
510001,98,monoprotic,medium,base,single,1,0.08768124631961718,9.09721272820915,8.471,10.207,1,1,0,1,0,10,7,0.04880497944510154,12.440000000000001,5.96,6.48,10.255804979445102,10.26,measured_success,nominal_locked,teacher,0
510001,99,diprotic,near,base,separated,2,0.08806592018629636,13.415726642456727,3.043,3.641,1,1,0,1,0,3,0,0.03958481431632599,3.9399999999999995,0.0,3.9399999999999995,3.601415185683674,3.6,measured_success,nominal_locked,teacher,0
510001,100,triprotic,medium,acid,overlapping,3,0.06928644004575783,10.237249378229848,3.837,2.51,1,0,0,1,0,2,1,0.061387998278268796,5.95,5.95,0.0,2.448612001721731,2.45,measured_success,nominal_locked,teacher,0
510001,101,monoprotic,medium,base,single,1,0.17717636255149052,9.772997814178195,2.957,3.843,1,1,0,1,0,5,0,0.0488746670735134,6.02,0.0,6.02,3.7941253329264866,3.79,measured_success,nominal_locked,teacher,0
510001,102,triprotic,far,acid,separated,3,0.13012250673175668,12.124753275450093,4.789,1.938,1,0,0,1,0,6,0,0.0656919466818271,19.27,19.27,0.0,2.003691946681827,2.0,measured_success,nominal_locked,teacher,0
510001,103,diprotic,near,base,separated,2,0.061968367826327565,10.45158198255924,4.616,4.856,1,0,0,1,0,1,0,0.05228792059566523,0.63,0.0,0.63,4.803712079404335,4.8,measured_success,nominal_locked,teacher,0
510001,104,monoprotic,near,base,single,1,0.1492392496013723,12.973845730158384,3.981,4.609,1,0,0,1,0,2,1,0.05461913873641855,2.01,0.0,2.01,4.6636191387364185,4.66,measured_success,nominal_locked,teacher,0
510001,105,triprotic,near,base,overlapping,3,0.11369304919056308,9.880523668695158,3.764,4.278,1,0,0,1,0,10,0,0.09217126763679939,7.4,0.0,7.4,4.1858287323632,4.19,measured_success,nominal_locked,teacher,0
510001,106,monoprotic,medium,acid,single,1,0.1553801290031066,15.736157939807905,7.557,6.01,1,0,0,1,0,6,0,0.08820009022879916,13.420000000000002,13.420000000000002,0.0,6.098200090228799,6.1,measured_success,nominal_locked,teacher,0
510001,107,diprotic,near,base,separated,2,0.09185715831534946,11.869922090632677,6.172,6.68,1,0,0,1,0,2,0,0.05960122813474378,2.85,0.0,2.85,6.620398771865256,6.62,measured_success,nominal_locked,teacher,0
510001,108,diprotic,medium,acid,separated,2,0.04162557736101766,11.347506688242978,4.974,4.247,1,1,0,1,0,2,2,0.04765633589238938,2.75,2.39,0.36,4.294656335892389,4.29,measured_success,nominal_locked,teacher,0
510001,109,monoprotic,far,acid,single,1,0.13433096648708312,13.061833074200706,5.854,2.883,1,0,0,1,0,5,2,0.05569744232120488,13.29,11.24,2.05,2.938697442321205,2.94,measured_success,nominal_locked,teacher,0
510001,110,diprotic,medium,base,separated,2,0.09185513670122092,8.090165074143906,4.443,5.157,1,1,0,1,0,3,0,0.007986827035498578,3.72,0.0,3.72,5.1490131729645015,5.15,measured_success,nominal_locked,teacher,0
510001,111,monoprotic,medium,acid,single,1,0.03613583774763401,10.210647045712768,4.027,2.35,1,0,0,1,0,4,3,0.053948840918165875,8.02,4.57,3.4499999999999997,2.296051159081834,2.3,measured_success,nominal_locked,teacher,0
510001,112,diprotic,far,base,separated,2,0.03419147487165735,10.446296661922375,3.078,5.463,1,1,0,1,0,3,2,0.02670052801835343,10.75,3.13,7.62,5.436299471981647,5.44,measured_success,nominal_locked,teacher,0
510001,113,triprotic,medium,acid,separated,3,0.047808690080025834,9.621057904640832,6.279,5.437,1,1,0,1,0,2,1,0.03176515058241325,2.94,2.64,0.3,5.405234849417587,5.41,measured_success,nominal_locked,teacher,0
510001,114,monoprotic,medium,base,single,1,0.031000545949714357,15.247167566904437,6.615,8.614,1,0,0,1,0,10,6,0.05243887956632065,13.280000000000001,5.46,7.82,8.56156112043368,8.56,measured_success,nominal_locked,teacher,0
510001,115,monoprotic,near,acid,single,1,0.04964240368100869,9.744467471831234,6.902,6.491,1,0,0,1,0,1,1,0.05661358314082143,1.09,1.09,0.0,6.434386416859178,6.43,measured_success,nominal_locked,teacher,0
510001,116,triprotic,medium,acid,overlapping,3,0.07280146527282517,11.664304465987032,3.066,1.546,1,0,0,1,0,4,0,0.08567366209106608,9.54,9.54,0.0,1.6316736620910661,1.63,measured_success,nominal_locked,teacher,0
510001,117,monoprotic,near,acid,single,1,0.11626557841211155,13.11605483105507,3.748,3.498,1,0,0,1,0,1,1,0.06278453795347083,1.42,1.42,0.0,3.4352154620465294,3.44,measured_success,nominal_locked,teacher,0
510001,118,triprotic,near,acid,separated,3,0.05462577503412669,8.45944492063183,2.534,2.017,1,1,0,1,0,2,2,0.00020508226231408244,2.1799999999999997,1.65,0.53,2.017205082262314,2.02,measured_success,nominal_locked,teacher,0
510001,119,monoprotic,near,base,single,1,0.0724787752444243,9.532581400723515,4.015,4.541,1,1,0,1,0,2,0,0.0061323883756738695,1.64,0.0,1.64,4.5348676116243265,4.53,measured_success,nominal_locked,teacher,0
510001,120,monoprotic,far,base,single,1,0.14119441327324153,9.501263236887073,7.718,11.245,1,0,0,1,0,5,3,0.08434171149324321,14.25,6.3,7.949999999999999,11.329341711493242,11.33,measured_success,nominal_locked,teacher,0
