method,benchmark_seed,task_id,true_k,estimated_k,k_correct,true_concentration_m,estimated_concentration_m,concentration_relative_error_percent,pka_matched_mae,full_curve_rmse_0_33ml_ph,true_pkas,estimated_pkas
PF,101,2842,3,2,0,0.06712965980189593,0.10140117690379766,51.05271977102109,0.4148262985369029,0.35187537992274465,"[3.140700703534308, 5.001005053420105, 6.764491975680406]","[4.207094921932072, 6.728749510094634]"
PF,303,2053,2,2,1,0.0704899805149234,0.1039605461142703,47.482727835711145,0.64001440333686,2.896338673891365,"[3.8627651516768173, 5.33486429622776]","[3.9784637047453493, 6.499194549832948]"
PF,555,948,2,2,1,0.07534738020694738,0.10155446856222555,34.78168488844388,0.8840118819322462,1.8426244698913608,"[4.909127838258006, 7.264699362135895]","[3.9076189313900245, 6.498184505139384]"
PF,202,2684,1,3,0,0.049354754728436985,0.10181128647351952,106.28465693672747,0.5804427189911578,4.467219983667394,[4.577871379799451],"[3.306999199553246, 5.158314098790608, 7.050463973234356]"
PF,555,2211,2,3,0,0.0426334539111618,0.10915324782135083,156.02722230481444,0.6326918706622533,4.6921125902192795,"[4.191472670325491, 6.6377760518731295]","[3.236766227507249, 5.0808679207382115, 7.013764542784916]"
PF,202,1422,1,3,0,0.08727459201605034,0.10451845778559057,19.758174024312805,0.403143317020354,5.591187751562631,[3.682202315621854],"[3.2790589986015, 5.0739717019384205, 7.048315422562586]"
PF,555,1,3,3,1,0.05312122109092176,0.10209700099092056,92.19626148309419,0.3915648518635999,3.6722797377550522,"[2.6619855552302107, 5.019769183222547, 7.18498757392706]","[3.4184851213571257, 5.323719139371574, 7.070742540612203]"
PF,404,1106,1,3,0,0.05319907334764119,0.10514351292955088,97.6416247750542,0.909858659967238,2.2216256458189982,[8.119038067029956],"[3.570364505161411, 5.368026706188787, 7.209179407062718]"
PF,202,2211,2,3,0,0.030800611422609914,0.10386319390632223,237.2114679193641,0.7213298770612122,5.826777578507899,"[2.962549981219621, 4.031298435475328]","[3.3170017787914357, 5.119506392025938, 7.100783458947316]"
PF,101,632,2,3,0,0.04967688109437773,0.10756835211864224,116.53604201576272,0.48092082444735995,3.1677935368620624,"[4.429256909988458, 6.808335215132788]","[3.3322063073058206, 5.16356585515506, 7.035867918860905]"
PF,101,1895,3,1,0,0.037683262320780495,0.10776745812687376,185.98229423317528,0.042011114649408654,1.3805792171549716,"[3.434757555586809, 5.38419356465918, 7.864443336954745]",[5.342182450009771]
PF,303,1895,2,2,1,0.09125094492334315,0.09915894765256325,8.666214619326238,2.1462047530589015,2.715353309881692,"[2.2308142332019427, 3.8684993430504564]","[3.9948301903683667, 6.396892892001835]"
PF,404,2526,2,3,0,0.06057550926928873,0.10342709558474597,70.74077763830313,0.7162029122243061,2.8537131188949,"[4.013748933379667, 6.305202195419911]","[3.464799311599268, 5.2497361819877195, 7.188658398088124]"
PF,101,790,3,1,0,0.10511578831682555,0.10086046514039254,4.048224576509099,0.40953013722003373,5.942026497794982,"[3.2212491755875794, 4.397944878175743, 5.705709342497994]",[5.29617920527796]
PF,404,2842,2,3,0,0.08019315607628244,0.10943708423223777,36.466862743421046,0.3594336101294888,4.178988585245279,"[3.3468249997546864, 4.90622690602577]","[3.554523073208951, 5.417396052830483, 7.199776329188395]"
PF,101,1264,1,3,0,0.08518331841023738,0.10658855707357034,25.128439538181308,0.29449437503619613,2.7450919983574757,[6.7973720951131575],"[3.2618460722687517, 5.23799406865743, 7.091866470149354]"
PF,404,2369,3,2,0,0.17314324298754255,0.11113695037436991,35.81213539914689,0.23080369919522092,4.266137850851783,"[3.4685298447917976, 4.464249464873871, 6.257714329725227]","[3.808991168792715, 6.378860404114751]"
PF,202,317,2,2,1,0.10984958076855228,0.10507002423976275,4.351001155716582,0.6263319257454985,1.2550557221710503,"[4.061330952453406, 5.2898756309050095]","[3.9997856981351863, 6.480994228077787]"
PF,404,2053,3,3,1,0.09329217892218565,0.0990576492232109,6.180014624628066,0.30572713786425637,0.7941931290016859,"[3.7919399778157334, 5.090196456682513, 6.81133974369312]","[3.389774899685256, 5.220991356920818, 7.195561178917107]"
PF,101,948,2,3,0,0.03633027155734308,0.100170279551654,175.72125188645217,0.7067355663777593,4.689673830684076,"[3.9535010118720386, 6.323210701345227]","[3.309787858644904, 5.217258305517282, 7.092968680873611]"
PF,404,1895,1,3,0,0.05903324062847452,0.10514197149167712,78.10638611792925,1.060697346008455,5.835669291377621,[2.3792584327893014],"[3.4399557787977564, 5.312346401422903, 7.153978418756545]"
PF,555,1579,1,3,0,0.09407324280959979,0.1021222727917403,8.5561310971616,0.8714964327275396,3.3038603629807564,[6.158636815286901],"[3.3856927377679877, 5.220295387707788, 7.03013324801444]"
PF,303,2842,2,3,0,0.07094098651869922,0.10427451960345528,46.987693180682975,0.2299436079317536,3.697358890800387,"[3.764556976769614, 5.3084541641996115]","[3.3540556661968397, 5.259068258908878, 7.064260845098156]"
PF,404,1737,1,1,1,0.049661237760811265,0.10086625374659239,103.10861809849631,1.2933787699372896,3.339509796965583,[3.968715075704214],[5.262093845641504]
PF,303,159,1,3,0,0.09873193342431864,0.10757395312764806,8.95558245104875,0.7447917542544809,4.388636560625766,[4.042140438985008],"[3.2973486847305273, 5.189818530277719, 7.087173827035791]"
PF,101,317,2,1,0,0.04869886549526234,0.1011673537214203,107.74067874591934,2.065114793217768,2.253579159574317,"[2.547821426595555, 3.024634481078176]",[5.089749274295944]
PF,404,1,1,3,0,0.03435788244861229,0.10922534176666063,217.90475425842845,1.1392295354803665,7.615451847023656,[2.395542874288007],"[3.5347724097683737, 5.343196029344013, 7.1884619460293955]"
PF,404,1264,3,1,0,0.04864077363440658,0.10053815556876554,106.69522307443067,0.5626984851612837,5.681544801191688,"[2.679114411154587, 4.623150612549284, 5.841311930268676]",[5.278613445107392]
PF,101,475,2,3,0,0.1401980227255406,0.11209264084763679,20.046917446849065,0.5521416479895893,2.4243420299499157,"[2.604648765231752, 4.94242753260208]","[3.4068863712100415, 5.244473222602969, 7.124889044552672]"
PF,101,2053,3,1,0,0.1304894682172804,0.10277708319045115,21.237257999001777,2.344361261520932,6.008612427516741,"[2.2669148851510847, 2.6077817088635395, 2.847186129097305]",[5.191547390618237]
PF,202,159,2,1,0,0.17248380139854214,0.1069869983455449,37.9727270166431,0.08846083310966701,5.451759221985267,"[3.9956567356854293, 5.291244606411548]",[5.202783773301881]
PF,404,632,1,1,1,0.16895321402007207,0.10549776207401144,37.558002263586395,2.0555812792043806,3.250013029669362,[7.2505340657266695],[5.194952786522289]
PF,404,1422,1,2,0,0.056811695021597546,0.10695829581461168,88.26809475399456,0.40372980999967556,2.8505937475029026,[6.979524355238352],"[4.209704311953962, 6.575794545238677]"
PF,101,1422,2,1,0,0.11605700207995368,0.10561003742983624,9.001580656822705,0.8709923601492875,4.380613849384864,"[3.0721435154223338, 4.2857132774621505]",[5.156705637611438]
PF,202,475,2,2,1,0.09227389968443848,0.10374777747617112,12.434586411727912,0.7201127690781581,1.549835491345673,"[3.361182545251126, 5.7103982333598555]","[4.010278435571974, 6.501527881195324]"
PF,101,159,1,3,0,0.08281932463450377,0.09730309419431785,17.488393709721127,0.21724293227055558,4.20145093520376,[5.110597024908919],"[3.4290645633513, 5.327839957179474, 7.1681548911598885]"
PF,303,1422,2,1,0,0.10949471867128201,0.11048817204531043,0.9073071158901338,0.5795262730067492,3.0529496102075884,"[4.7047811494863705, 6.200951787846143]",[5.28430742249312]
PF,303,1264,3,3,1,0.030189539759761057,0.10213659512614245,238.31782776058733,1.3514517911018753,5.065686989354854,"[2.6094581217533745, 3.7950267765752908, 5.531304543314491]","[3.457750507216547, 5.372473337861447, 7.159920969870788]"
PF,404,1579,3,2,0,0.03104250890631701,0.10433842184716768,236.1146554295915,0.4345263037045579,2.7692496736563053,"[3.4282883076921236, 5.628727942827487, 6.751457386671085]","[4.004952567973955, 6.459069039543801]"
PF,555,1895,1,3,0,0.050234131575798514,0.10328043857679038,105.59813683839653,0.9408311220964465,7.3440820636471775,[2.310890222752545],"[3.2517213448489914, 5.1117539345648595, 7.0134098976353805]"
PF,303,3000,3,3,1,0.07118105653668573,0.11546840470531958,62.217885380513785,0.8329929902269488,0.4854245650773862,"[3.2192514785438116, 4.427090391909266, 6.077683835702965]","[3.5656354569379496, 5.4280853705008205, 7.229283849398119]"
PF,202,2842,3,3,1,0.15800088798482254,0.10285973825669714,34.89926571388777,0.4055568565601046,1.5606490579388819,"[3.601173651399014, 5.249317365279029, 6.210892048479246]","[3.370740387937103, 5.167177721068246, 7.114989710486865]"
PF,202,948,3,3,1,0.06801700095076234,0.10275792065222347,51.07681787765115,0.52585920155405,2.631551102228377,"[3.559029132946093, 5.769850237658069, 7.9458048136920905]","[3.3138091046119347, 5.230865580971553, 7.152431894050615]"
PF,555,632,2,1,0,0.11825068905687264,0.10026343469935264,15.21112012198849,0.5544056300433935,5.829936970019809,"[4.446910261108392, 5.860245765079793]",[5.3058401350364]
PF,101,1737,1,3,0,0.05028484779423099,0.09747086024740195,93.83743716647874,0.4785452706506086,5.961151942028641,[3.8127688093499366],"[3.334223538699328, 5.3391702755245, 7.215847142772691]"
PF,555,2526,1,1,1,0.1719539599434053,0.10861969398175417,36.83210667698269,2.2878648846425045,3.5223583999679895,[3.049030429638447],[5.336895314280952]
PF,303,2369,1,3,0,0.08291712917611893,0.10641131755560829,28.334541502982894,0.2473028101941921,3.7760816417237653,[5.037185640865046],"[3.339647363717418, 5.2844884510592385, 7.013803567774989]"
PF,303,790,2,2,1,0.14885456516877088,0.09755566882862939,34.46242732426711,2.2840348741419736,3.6104617536404073,"[2.2399263218226997, 3.658828950521066]","[4.05527802226757, 6.4115469983601425]"
PF,303,1106,2,1,0,0.07426201718906171,0.10649755163934968,43.40783575568702,0.3600573970115919,1.8229075170010787,"[3.606903236044145, 5.536995817388389]",[5.176938420376797]
PF,101,2211,1,3,0,0.06692298381776815,0.10554278122095942,57.70782353093117,0.21454533972780254,2.7841716958239444,[6.9586759113359165],"[3.3897456172356506, 5.273249136063288, 7.173221251063719]"
PF,555,1264,2,3,0,0.0508601498163102,0.10589258228576362,108.20344153175346,1.6088410208045039,5.915963715837788,"[1.8352311696827652, 3.6116536722951755]","[3.425395312553093, 5.239171571033856, 7.108215445621593]"
PF,404,3000,3,3,1,0.031043351915272348,0.09611373458756482,209.61132950427273,1.534568631502312,5.103643448181954,"[3.291273836367277, 3.7712920518616246, 4.013835323248265]","[3.348914212088754, 5.228458654339089, 7.102734239556259]"
PF,555,2684,1,2,0,0.04991056394861833,0.10770963655461799,115.80528856676986,0.023837310499364328,4.705090541788235,[3.9806547984579312],"[4.004492108957296, 6.476989650512154]"
PF,101,2526,3,3,1,0.06125656029329333,0.11037163586086286,80.17929072806085,0.9335567087829056,4.065123105850449,"[2.4404259545988514, 4.302645595920821, 5.898115404874311]","[3.202695640691468, 5.160484150069828, 7.078677290981404]"
PF,404,317,3,3,1,0.0648619307527631,0.10856479044439873,67.37828982954521,0.2199541746908582,3.0534405551893014,"[3.327423268174809, 5.3234357144786335, 7.624800545577019]","[3.4491472015016744, 5.276823642883669, 7.133274026426274]"
PF,555,475,1,3,0,0.09347923672506389,0.1004442394969183,7.450855415453919,0.7593313211606194,3.281759007642814,[5.946298894981457],"[3.358737108493235, 5.186967573820837, 6.941518719990294]"
PF,303,317,2,1,0,0.15475235944295154,0.10114805003634367,34.638767124173484,0.8808416107523689,4.415031797355203,"[4.2849469089844305, 6.466808153718205]",[5.165788519736799]
PF,555,2369,1,1,1,0.07588280655640195,0.10169895761580854,34.02108096808206,2.811232161618464,2.3981935097087916,[7.939625416189755],[5.128393254571291]
PF,303,632,1,3,0,0.04376434453172055,0.10027143236806504,129.11672376445156,1.152184736096416,1.9733886510455283,[8.322664072743997],"[3.415052283972, 5.373316741407306, 7.170479336647581]"
PF,202,1737,1,3,0,0.08422844038466198,0.10269915377021407,21.92930713331314,0.4687399281113933,2.342770322906846,[7.804540119936352],"[3.3924963744876733, 5.276395898770244, 7.3358001918249585]"
PF,555,317,2,2,1,0.039881489280086176,0.10086848495885103,152.92055733038333,2.6778100178157955,5.361135327951629,"[2.291275812340863, 2.820356144884941]","[3.993513598927914, 6.473738393929481]"
PF,303,475,3,1,0,0.110226298850227,0.09660872363079362,12.354198010346547,0.5325718301888349,5.416823193356264,"[2.459734296613616, 4.68460814111473, 6.22971263691246]",[5.2171799713035645]
PF,202,1895,1,3,0,0.04898096618864941,0.10097674839890422,106.15507666793238,1.2075588922719334,2.2836545137393243,[8.294137692732424],"[3.261330971028831, 5.137306454095948, 7.08657880046049]"
PF,101,1,3,1,0,0.11649832513779042,0.10074832240092206,13.519510017195326,0.7837618129642321,5.650656135892759,"[2.1059946171523567, 4.504856522440828, 6.184351113696277]",[5.28861833540506]
PF,555,1106,3,2,0,0.08117641340365304,0.10662244192125218,31.346578951533274,0.8996816613168273,1.0957709298213452,"[3.234835217047939, 5.15344209472382, 7.533784525309686]","[4.026065847532822, 6.525651833160914]"
PF,404,948,1,3,0,0.052189610498750975,0.10635387886361197,103.78362253950387,0.7908012659025951,1.8186239905683677,[8.143713211437404],"[3.53641002306839, 5.376424617355595, 7.352911945534809]"
PF,202,2053,2,3,0,0.09881930845066905,0.10657942284198171,7.852832116495268,0.7554918702117404,2.457282293757497,"[4.172075548798355, 6.002726100781113]","[3.383184814581519, 5.280633094574468, 7.097531801671971]"
PF,404,475,1,3,0,0.03610871352438308,0.10289947130447835,184.97130266076516,0.12291382142265395,3.0469904985991234,[7.0532891033962635],"[3.3431214604811035, 5.238146747067493, 7.176202924818917]"
PF,303,1737,1,3,0,0.0993853847376421,0.09970006294015676,0.3166242233154897,0.7157370560101031,3.3418166503774613,[6.025223270877795],"[3.525345656647911, 5.309486214867692, 7.273187797929956]"
PF,303,2684,1,3,0,0.03015383274118093,0.10899231282786145,261.4542594414913,0.052633316815438036,2.4500551555106296,[7.141599055994737],"[3.4934405288755412, 5.299460095850466, 7.194232372810175]"
PF,202,1264,1,1,1,0.03296298518866934,0.10248995232629364,210.9243648282299,1.5733836482873977,2.804189985662025,[6.666718922988816],[5.093335274701419]
PF,202,2369,2,3,0,0.040198724094169073,0.1070590134180784,166.32440663361152,1.2378915084233346,6.063467035994271,"[2.4423917511452125, 3.518780600603069]","[3.318790278845188, 5.118165089749763, 6.992410158290995]"
PF,404,2211,2,2,1,0.11588613564644365,0.10770046222686297,7.063548520208064,0.857804426872415,1.0332473827859754,"[3.2487248009003142, 5.503878634857892]","[3.913616633364901, 6.554595656138135]"
PF,404,159,3,3,1,0.04682338608637076,0.11033588021388793,135.64267652570354,0.22050255011888042,3.8369368797208945,"[3.536648763785167, 4.709375632208243, 6.962591706232237]","[3.343361938958259, 5.172874247259526, 6.957869495753787]"
PF,555,2053,1,3,0,0.06630416732289862,0.09983107978249911,50.56531710341188,1.0749857816770456,2.236931842115912,[8.134988366579552],"[3.3628243503973114, 5.2289209304643185, 7.060002584902507]"
PF,303,1579,3,1,0,0.09742946790394946,0.09886003159574452,1.4683069943534723,0.4330205005926917,3.1916473766273112,"[3.023700002659643, 5.496356601857867, 7.173021321546826]",[5.063336101265175]
PF,555,159,1,1,1,0.03610210775557044,0.10850790049930328,200.55835308552273,3.186528328398601,3.243992770999471,[8.40993120933652],[5.223402880937919]
PF,303,2211,1,3,0,0.11266561473090311,0.10539793661216332,6.450662108486539,0.31777648798944913,3.45061897531448,[5.494096384703395],"[3.2722488626815482, 5.176319896713946, 7.06536558774626]"
PF,202,3000,3,3,1,0.05089151572213394,0.10430174510638099,104.9491818555085,0.32191836127982815,3.4726558117892448,"[3.516921980298913, 4.881382104830975, 6.556513244311883]","[3.428833204259793, 5.227982012519437, 7.087579644423786]"
PF,555,790,3,3,1,0.03368647836407902,0.10384636208416849,208.27313250679006,0.25200911431324496,3.781056280018615,"[3.600770758365568, 5.202969474541008, 7.375809888381689]","[3.2038024288864864, 5.169680531752797, 7.050039817709247]"
PF,303,948,1,3,0,0.12462626634182608,0.10698255219666084,14.157299791660213,0.6408886428328717,3.850344172392132,[4.587877524732907],"[3.4203208884249032, 5.228766167565778, 7.070112132249782]"
PF,303,1,2,3,0,0.1429192300966741,0.10262694499509932,28.19234687614821,0.8735669515074802,1.1044683776477726,"[4.596302638125189, 5.947563582392657]","[3.4411550242687654, 5.224299816898463, 7.066700306634344]"
PF,101,1106,2,3,0,0.04828925213947402,0.09703616344243016,100.94774539510419,0.4644249367384756,3.9360652513188334,"[2.9799681877815183, 4.82130155104622]","[3.3851224211667974, 5.344997191137892, 7.299771394888161]"
PF,202,632,3,2,0,0.0386970911654942,0.10397328464148103,168.6850135500442,0.25433942383845687,2.700467103364345,"[3.5755007148831273, 4.744350447133897, 6.470852047646433]","[4.047406042873881, 6.507625567332593]"
PF,101,1579,3,3,1,0.08625331092919482,0.10343474009497144,19.919732913071396,0.5194198079526884,1.5563058105529504,"[3.166487077879048, 4.800278228905183, 6.3119548571414175]","[3.4067113521459587, 5.260008671313759, 7.170259564323996]"
PF,101,2369,3,3,1,0.09197502821092951,0.09697186249369312,5.432816254542697,1.2968856893306726,1.1764833206282959,"[2.06187472910514, 3.8452502510669193, 5.746778196617397]","[3.3744039044226772, 5.130733423713204, 7.039422916645592]"
PF,555,2842,1,3,0,0.04760547466257951,0.1053532192944282,121.30483949830578,0.3349013113617332,5.8880211740271715,[3.7024254408126542],"[3.367524129450921, 5.182460091821104, 7.152827096753129]"
PF,555,3000,2,3,0,0.10827730596952383,0.10324161344894078,4.6507368053656695,0.8702866278629633,1.7735383609578592,"[4.781671191141371, 5.706125499007993]","[3.484686130032497, 5.262537304390941, 7.135978826249522]"
PyMC,404,2684,2,3,0,0.06584317897357159,0.10884097656117565,65.3033438814713,0.23741218816252707,3.685949144130787,"[3.3947900735136654, 4.798625552442783]","[3.318725804379209, 5.197385659633381, 7.158874084902932]"
PyMC,202,790,2,1,0,0.030862297264345553,0.10317575666632238,234.31003461145056,0.3531781349999177,2.1587579507295445,"[4.0495501780283005, 5.597499315968612]",[5.2443211809686945]
PyMC,202,1106,1,3,0,0.048966024596752734,0.1027837285691001,109.90825662395387,0.14835054926589208,2.7481429526446948,[7.1760284887418475],"[3.465831158809249, 5.447971545370071, 7.027677939475955]"
PyMC,101,2684,2,3,0,0.15651504880639894,0.10596759120542959,32.29558945702017,0.6778113146311284,1.3332891861389329,"[3.963548823925442, 4.418316695200419]","[3.5140065088462054, 5.324397009383439, 7.2531789833017974]"
PyMC,303,2526,1,2,0,0.13758801263897394,0.10357488292535562,24.720997898899498,1.8280086058114753,3.083047628408843,[8.458023131556091],"[4.1755691936678305, 6.630014525744616]"
PyMC,404,790,2,2,1,0.07174916154714953,0.1065505021937867,48.50417746522053,0.561308704847427,2.3446835202224054,"[3.8518396582785597, 5.779224609599835]","[4.18268240599527, 6.570999271577978]"
PyMC,555,1737,1,3,0,0.08255077271199855,0.10476583616929126,26.910788024718038,0.21103947501002018,2.635586842196145,[6.99063830755514],"[3.36432612222352, 5.357261200852728, 7.20167778256516]"
PyMC,202,1,3,3,1,0.09622503649789675,0.10229544834446062,6.308557593216976,2.9353739972939814,3.0602294576851974,"[1.9244087184203733, 2.3320804640730364, 2.6112072018556782]","[3.3701078527558472, 5.230767034143593, 7.072943489331592]"
PyMC,101,3000,1,1,1,0.16958177600951124,0.10355567492313962,38.93466776917612,2.569709602870608,3.199715722593552,[7.698747422440217],[5.129037819569609]
PyMC,202,2526,3,1,0,0.055395815292556105,0.0999862475109183,80.49422502922182,1.5795219233285578,7.9522585277791675,"[2.888946350111958, 3.304561494483748, 3.650018204276066]",[5.229540127604624]
PyMC,202,1579,3,2,0,0.1535759629916498,0.10605608518652743,30.94226262980107,0.8664494262717701,3.90333421721475,"[3.1777457049576725, 5.667921690088857, 7.302549406951195]","[4.100916971431913, 6.477649276158156]"
PyMC,555,1422,3,1,0,0.07606902868101931,0.10194089530221616,34.011038486748,2.239078936564918,4.112984694277972,"[2.115824693729396, 2.503629653532519, 2.807150217121589]",[5.046229153686507]
PyMC,101,2842,3,3,1,0.06712965980189593,0.10206653563622162,52.04387440280007,0.25075986917957654,2.244209500539308,"[3.140700703534308, 5.001005053420105, 6.764491975680406]","[3.3679140678928285, 5.166049550390746, 7.124513721889974]"
PyMC,303,2053,2,1,0,0.0704899805149234,0.10380541659678091,47.262654690058135,0.33121757756200676,4.558704242702187,"[3.8627651516768173, 5.33486429622776]",[5.003646718665753]
PyMC,555,948,2,3,0,0.07534738020694738,0.10060171739571544,33.51720672889366,0.2777714488522012,2.5349324492648577,"[4.909127838258006, 7.264699362135895]","[3.47714885050691, 5.267056881328119, 7.067085507501606]"
PyMC,202,2684,1,3,0,0.049354754728436985,0.10402117995260649,110.76222650676463,0.6984200107264833,4.492722141679117,[4.577871379799451],"[3.3652451023378385, 5.276291390525934, 7.14256722289712]"
PyMC,555,2211,2,3,0,0.0426334539111618,0.1054677591302673,147.38262902657988,0.6028642100191679,4.534511015260723,"[4.191472670325491, 6.6377760518731295]","[3.5728286843277792, 5.377228158336397, 7.224860485913753]"
PyMC,202,1422,1,2,0,0.08727459201605034,0.09380211879542798,7.479297958994967,0.3656457458032447,3.9397669728935556,[3.682202315621854],"[4.047848061425099, 6.46878636818579]"
PyMC,555,1,3,1,0,0.05312122109092176,0.10789100248123629,103.10339308008585,0.20707116961368843,2.0988686794675315,"[2.6619855552302107, 5.019769183222547, 7.18498757392706]",[5.226840352836235]
PyMC,404,1106,1,3,0,0.05319907334764119,0.10787364609239598,102.77354341770508,1.03201599419672,2.1986002310812407,[8.119038067029956],"[3.245737750161504, 5.16581496060942, 7.0870220728332365]"
PyMC,202,2211,2,3,0,0.030800611422609914,0.09413996624086314,205.64317360192885,0.9687829655487075,5.420811333099533,"[2.962549981219621, 4.031298435475328]","[3.5153435774133563, 5.416070770379008, 7.23246046340843]"
PyMC,101,632,2,3,0,0.04967688109437773,0.10048006237050099,102.2672522045129,0.5534500229021915,2.9829087047181457,"[4.429256909988458, 6.808335215132788]","[3.276943562011706, 5.172043510826143, 7.1724486600994855]"
PyMC,101,1895,3,3,1,0.037683262320780495,0.09940861853955837,163.8004578620024,0.40608868286993766,2.4144286376344426,"[3.434757555586809, 5.38419356465918, 7.864443336954745]","[3.2172601694981005, 5.074272248826789, 7.173595990266031]"
PyMC,303,1895,2,3,0,0.09125094492334315,0.10297804710015013,12.851485742595342,1.1559442120397312,4.8528465198577315,"[2.2308142332019427, 3.8684993430504564]","[3.247415021111187, 5.163786979220674, 7.066148900196515]"
PyMC,404,2526,2,3,0,0.06057550926928873,0.09542849756890265,57.53643464172094,0.7605381522662242,2.7535168587109062,"[4.013748933379667, 6.305202195419911]","[3.4213161071897216, 5.222281825237539, 7.2338456737624135]"
PyMC,101,790,3,2,0,0.10511578831682555,0.10580278609620866,0.653562885636603,0.6516366833787868,2.782492399747067,"[3.2212491755875794, 4.397944878175743, 5.705709342497994]","[3.897577807100679, 6.508615638180504]"
PyMC,404,2842,2,1,0,0.08019315607628244,0.10276750212247453,28.14996584586172,0.09780552963403277,2.8185738465831327,"[3.3468249997546864, 4.90622690602577]",[5.004032435659803]
PyMC,101,1264,1,3,0,0.08518331841023738,0.09926494900667503,16.53097209552394,0.2389405338988011,2.7285004923792324,[6.7973720951131575],"[3.5377197724336984, 5.454457827559604, 7.036312629011959]"
PyMC,404,2369,3,3,1,0.17314324298754255,0.10317381940814406,40.41129319983495,0.5754998206943842,3.62179751410026,"[3.4685298447917976, 4.464249464873871, 6.257714329725227]","[3.362461779970644, 5.2542810658661, 7.088114125994997]"
PyMC,202,317,2,3,0,0.10984958076855228,0.10606502803560253,3.445213633471776,0.33391562560519983,2.3604633809228197,"[4.061330952453406, 5.2898756309050095]","[3.4403821708642477, 5.336758100526251, 7.2303009526656385]"
PyMC,404,2053,3,1,0,0.09329217892218565,0.11071983464698003,18.680725357835904,0.019016149335458365,4.931645807717495,"[3.7919399778157334, 5.090196456682513, 6.81133974369312]",[5.109212606017971]
PyMC,101,948,2,3,0,0.03633027155734308,0.10617594894074268,192.25201020905223,0.7137048612380534,4.83615680023649,"[3.9535010118720386, 6.323210701345227]","[3.462114370197415, 5.3871876205437434, 7.294425507172585]"
PyMC,404,1895,1,3,0,0.05903324062847452,0.1006342556640408,70.47049186640812,1.0818974309666536,5.708563115063785,[2.3792584327893014],"[3.461155863755955, 5.211419996188064, 7.151690859208447]"
PyMC,555,1579,1,3,0,0.09407324280959979,0.10746385018129269,14.234235975892648,0.9044355949355634,3.3305845062103843,[6.158636815286901],"[3.271869518162381, 5.254201220351337, 7.074409510168542]"
PyMC,303,2842,2,3,0,0.07094098651869922,0.10477902116709843,47.6988498594954,0.15937900639649327,3.7128690089101495,"[3.764556976769614, 5.3084541641996115]","[3.453532430834019, 5.30072069734222, 7.117894233842929]"
PyMC,404,1737,1,1,1,0.049661237760811265,0.10022096153208332,101.80922999702155,1.2783869991048054,3.306386734441376,[3.968715075704214],[5.247102074809019]
