"method","particle_count","benchmark_seed","task_seed","task_id","step_index","before_true_ph","before_measured_ph","target_ph","action_reagent","requested_volume_ml","actual_volume_ml","true_ph_after","measured_ph_after","observe_time_ms","recommend_time_ms","total_decision_time_ms","next_action_stop","next_action_reason","next_action_reagent","next_action_volume_ml"
"pf_1000","1000","101","1000101","2211","1","7.069","7.07","6.632","acid","1.16","1.16","6.785787446940905","6.79","22.9519","2.5706","25.5225","0","running","acid","0.39"
"pf_1000","1000","101","1000101","2211","2","6.785787446940905","6.79","6.632","acid","0.39","0.39","6.685199525246425","6.69","9.7143","0.0605","9.7748","1","measured_success","","0.0"
"pf_1000","1000","101","1000101","2369","1","2.332","2.33","2.572","base","0.64","0.64","2.4335034237601523","2.43","18.7215","2.5151","21.2366","0","running","base","0.37"
"pf_1000","1000","101","1000101","2369","2","2.4335034237601523","2.43","2.572","base","0.37","0.37","2.495026529908313","2.5","11.2584","0.064","11.3224","1","measured_success","","0.0"
"pf_1000","1000","101","1000101","2526","1","2.437","2.44","1.868","acid","2.8","2.8","1.9732871284294884","1.97","26.3732","34.0037","60.3769","0","running","acid","0.41"
"pf_1000","1000","101","1000101","2526","2","1.9732871284294884","1.97","1.868","acid","0.41","0.41","1.9185320397798842","1.92","12.2271","0.0597","12.2868","1","measured_success","","0.0"
"pf_1000","1000","101","1000101","2684","1","3.885","3.88","3.626","acid","0.68","0.68","3.8530074563187586","3.85","19.5517","2.5712","22.1229","0","running","acid","0.6"
"pf_1000","1000","101","1000101","2684","2","3.8530074563187586","3.85","3.626","acid","0.6","0.6","3.8237116534896645","3.82","9.9091","2.5605","12.4696","0","running","acid","0.52"
"pf_1000","1000","101","1000101","2684","3","3.8237116534896645","3.8200000000000003","3.626","acid","0.52","0.52","3.7975377469835836","3.8","9.7112","2.4941","12.2053","0","running","acid","0.47"
"pf_1000","1000","101","1000101","2684","4","3.7975377469835836","3.8000000000000003","3.626","acid","0.47","0.47","3.773176385187263","3.77","10.2109","2.7678","12.9787","0","running","acid","0.39"
"pf_1000","1000","101","1000101","2684","5","3.773176385187263","3.77","3.626","acid","0.39","0.39","3.7523991846682963","3.75","9.2299","30.3289","39.5588","0","running","acid","2.83"
"pf_1000","1000","101","1000101","2684","6","3.7523991846682963","3.75","3.626","acid","2.83","2.83","3.58093020465063","3.58","10.3023","0.0469","10.3492","1","measured_success","","0.0"
"pf_1000","1000","101","1000101","2842","1","6.447","6.45","4.327","acid","5.09","5.09","5.004977562198706","5.0","28.7893","33.6762","62.4655","0","running","acid","1.62"
"pf_1000","1000","101","1000101","2842","2","5.004977562198706","5.0","4.327","acid","1.62","1.62","4.596567170910966","4.6","15.6067","36.1494","51.7561","0","running","acid","0.67"
"pf_1000","1000","101","1000101","2842","3","4.596567170910966","4.6000000000000005","4.327","acid","0.67","0.67","4.399599901370054","4.4","12.2498","0.1351","12.3849","1","measured_success","","0.0"
"pf_1000","1000","101","1000101","3000","1","7.472","7.47","7.922","base","2.05","2.05","7.71780189285615","7.72","22.4618","34.1838","56.6456","0","running","base","1.05"
"pf_1000","1000","101","1000101","3000","2","7.71780189285615","7.72","7.922","base","1.05","1.05","7.842612077819284","7.84","9.6394","0.044","9.6834","1","measured_success","","0.0"
"pf_1000","1000","202","1000202","1","1","2.507","2.5100000000000002","2.84","base","0.88","0.88","2.565741672531657","2.57","25.3773","3.0747","28.452","0","running","base","0.71"
"pf_1000","1000","202","1000202","1","2","2.565741672531657","2.57","2.84","base","0.71","0.71","2.6150823670440166","2.62","9.4795","2.5913","12.0708","0","running","base","0.58"
"pf_1000","1000","202","1000202","1","3","2.6150823670440166","2.62","2.84","base","0.58","0.58","2.657444292735531","2.66","10.2281","2.6787","12.9068","0","running","base","0.48"
"pf_1000","1000","202","1000202","1","4","2.657444292735531","2.66","2.84","base","0.48","0.48","2.6942476908040085","2.69","9.6343","2.6851","12.3194","0","running","base","0.4"
"pf_1000","1000","202","1000202","1","5","2.6942476908040085","2.69","2.84","base","0.4","0.4","2.7263688026169426","2.73","9.3253","2.5853","11.9106","0","running","base","0.3"
"pf_1000","1000","202","1000202","1","6","2.7263688026169426","2.73","2.84","base","0.3","0.3","2.751467568236354","2.75","9.3035","0.0589","9.3624","1","measured_success","","0.0"
"pf_1000","1000","202","1000202","159","1","3.865","3.86","5.408","base","3.85","3.85","4.085211399432017","4.09","19.0062","2.583","21.5892","0","running","base","3.09"
"pf_1000","1000","202","1000202","159","2","4.085211399432017","4.09","5.408","base","3.09","3.09","4.253011547358355","4.25","13.505","2.5606","16.0656","0","running","base","2.8"
"pf_1000","1000","202","1000202","159","3","4.253011547358355","4.25","5.408","base","2.8","2.8","4.403836326973591","4.4","9.4325","2.59","12.0225","0","running","base","2.46"
"pf_1000","1000","202","1000202","159","4","4.403836326973591","4.4","5.408","base","2.46","2.46","4.5369817053432175","4.54","12.7499","2.5293","15.2792","0","running","base","2.14"
"pf_1000","1000","202","1000202","159","5","4.5369817053432175","4.54","5.408","base","2.14","2.14","4.653296629007508","4.65","9.308","2.506","11.814","0","running","base","1.9"
"pf_1000","1000","202","1000202","159","6","4.653296629007508","4.65","5.408","base","1.9","1.9","4.75655494526892","4.76","9.227","2.5193","11.7463","0","running","base","1.63"
"pf_1000","1000","202","1000202","159","7","4.75655494526892","4.76","5.408","base","1.63","1.63","4.844864530882322","4.84","12.4384","2.6458","15.0842","0","running","base","1.45"
"pf_1000","1000","202","1000202","159","8","4.844864530882322","4.84","5.408","base","1.45","1.45","4.923144053149862","4.92","10.3664","2.5933","12.9597","0","running","base","1.25"
"pf_1000","1000","202","1000202","159","9","4.923144053149862","4.92","5.408","base","1.25","1.25","4.990486347167149","4.99","10.5873","2.7581","13.3454","0","running","base","1.07"
"pf_1000","1000","202","1000202","159","10","4.990486347167149","4.99","5.408","base","1.07","1.07","5.0481479301121865","5.05","9.4367","31.1954","40.6321","0","running","base","3.26"
"pf_1000","1000","202","1000202","159","11","5.0481479301121865","5.05","5.408","base","3.26","3.26","5.225827657432511","5.23","9.3836","28.6409","38.0245","0","running","base","2.7"
"pf_1000","1000","202","1000202","159","12","5.225827657432511","5.23","5.408","base","2.7","2.7","5.379768076451613","5.38","9.463","0.0595","9.5225","1","measured_success","","0.0"
"pf_1000","1000","202","1000202","317","1","4.194","4.19","5.463","base","3.25","3.25","4.442529523933199","4.44","18.5661","2.4965","21.0626","0","running","base","2.43"
"pf_1000","1000","202","1000202","317","2","4.442529523933199","4.44","5.463","base","2.43","2.43","4.62650168323702","4.63","9.3316","2.4872","11.8188","0","running","base","2.04"
"pf_1000","1000","202","1000202","317","3","4.62650168323702","4.63","5.463","base","2.04","2.04","4.781036083081299","4.78","9.3792","2.4762","11.8554","0","running","base","1.7"
"pf_1000","1000","202","1000202","317","4","4.781036083081299","4.78","5.463","base","1.7","1.7","4.909762392012986","4.91","9.4073","2.4908","11.8981","0","running","base","1.4"
"pf_1000","1000","202","1000202","317","5","4.909762392012986","4.91","5.463","base","1.4","1.4","5.015995652590814","5.02","9.2862","2.6365","11.9227","0","running","base","1.13"
"pf_1000","1000","202","1000202","317","6","5.015995652590814","5.0200000000000005","5.463","base","1.13","1.13","5.102373211368306","5.1","13.4517","2.5388","15.9905","0","running","base","0.94"
"pf_1000","1000","202","1000202","317","7","5.102373211368306","5.1000000000000005","5.463","base","0.94","0.94","5.1751387707787995","5.18","9.4316","2.6788","12.1104","0","running","base","0.74"
"pf_1000","1000","202","1000202","317","8","5.1751387707787995","5.18","5.463","base","0.74","0.74","5.233360462983008","5.23","9.4418","2.616","12.0578","0","running","base","0.61"
"pf_1000","1000","202","1000202","317","9","5.233360462983008","5.23","5.463","base","0.61","0.61","5.282223981210075","5.28","13.742","3.1853","16.9273","0","running","base","0.48"
"pf_1000","1000","202","1000202","317","10","5.282223981210075","5.28","5.463","base","0.48","0.48","5.3213813029408215","5.32","16.9863","4.2452","21.2315","0","running","base","0.38"
"pf_1000","1000","202","1000202","317","11","5.3213813029408215","5.32","5.463","base","0.38","0.38","5.3529141514965435","5.35","9.9865","2.6127","12.5992","0","running","base","0.3"
"pf_1000","1000","202","1000202","317","12","5.3529141514965435","5.3500000000000005","5.463","base","0.3","0.3","5.3781930610338655","5.38","9.3273","0.0594","9.3867","1","measured_success","","0.0"
