method,repeat,order_position,benchmark_seed,task_seed,task_id,pka_values,analyte_conc_m,initial_volume_ml,initial_base_moles,before_ph,observed_ph,target_ph,reagent,previous_volume_ml,wall_ns,process_cpu_ns,selected_k,posterior_concentration_m,posterior_pka_values,posterior_pka_sd,pair_probabilities,recommended_volume_ml,inference_seed
pymc,1,15,555,1000555,948,"(4.909127838258006, 7.264699362135895)",0.07534738020694738,11.840170739615491,0.0011750973076075633,6.95,6.95,5.218,acid,0.01,14681054400,14187500000,3,0.10060171739571544,"[3.47714885050691, 5.267056881328119, 7.067085507501606]","[1.4286725145509631, 1.62337541370411, 1.470723635681136]","[0.33357123560330243, 0.33282066689953843, 0.33360809749715925]",0.01,30821790
pymc,1,16,202,1000202,2684,"(4.577871379799451,)",0.049354754728436985,8.881910444780361,0.00019131808858951571,4.47,4.46,2.589,acid,0.01,14784584300,14546875000,3,0.10402117995260649,"[3.3652451023378385, 5.276291390525934, 7.14256722289712]","[1.459938019355513, 1.7568850489229912, 1.473443526346495]","[0.3319314260436371, 0.334012785139631, 0.33405578881673176]",0.8200000000000001,30467349
pymc,1,17,555,1000555,2211,"(4.191472670325491, 6.6377760518731295)",0.0426334539111618,9.561600003893933,6.283591353466129e-05,3.48,3.48,5.51,base,0.01,15731924300,15359375000,3,0.1054677591302673,"[3.5728286843277792, 5.377228158336397, 7.224860485913753]","[1.510067261962666, 1.6664239267141896, 1.4055437738250949]","[0.3332746791602898, 0.3333439167740574, 0.33338140406565286]",0.01,30823053
pymc,1,18,202,1000202,1422,"(3.682202315621854,)",0.08727459201605034,13.17443842635386,0.00037197815779545766,3.37,3.37,3.849,base,0.01,15538691000,15312500000,2,0.09380211879542798,"[4.047848061425099, 6.46878636818579]","[1.698963761401022, 1.7784030202190266]","[0.3332538637599225, 0.3333803769792496, 0.33336575926082784]",1.06,30466087
pymc,1,19,555,1000555,1,"(2.6619855552302107, 5.019769183222547, 7.18498757392706)",0.05312122109092176,15.263157629955955,0.0013317312868228138,5.26,5.26,4.769,acid,0.01,14563519100,13921875000,1,0.10789100248123629,[5.226840352836235],[2.1129109436840676],"[0.33348357798286543, 0.3332325753974927, 0.33328384661964205]",9.06,30820843
pymc,1,20,404,1000404,1106,"(8.119038067029956,)",0.05319907334764119,15.452727842115475,0.00048808334373413214,8.28,8.29,11.417,base,0.01,13457600300,13187500000,3,0.10787364609239598,"[3.245737750161504, 5.16581496060942, 7.0870220728332365]","[1.3437061946229827, 1.7132325739705345, 1.4792345219976186]","[0.3315661679394902, 0.33390082746212996, 0.3345330045983798]",0.01,30669589
pymc,1,21,202,1000202,2211,"(2.962549981219621, 4.031298435475328)",0.030800611422609914,10.700453167756812,0.0002518728847380254,3.24,3.24,1.83,acid,0.01,16457497700,16203125000,3,0.09413996624086314,"[3.5153435774133563, 5.416070770379008, 7.23246046340843]","[1.5475864510553634, 1.7410686192421065, 1.4910827209395314]","[0.33181067064198594, 0.3337834123462214, 0.33440591701179256]",4.5600000000000005,30466876
pymc,1,22,101,1000101,632,"(4.429256909988458, 6.808335215132788)",0.04967688109437773,8.45231925831571,0.0004558737236480732,5.93,5.92,5.424,acid,0.01,16830917700,16765625000,3,0.10048006237050099,"[3.276943562011706, 5.172043510826143, 7.1724486600994855]","[1.3349276202567921, 1.7001143903948586, 1.5020504300967719]","[0.3329081242855803, 0.33294174933262705, 0.33415012638179276]",0.01,30363388
pymc,1,23,101,1000101,1895,"(3.434757555586809, 5.38419356465918, 7.864443336954745)",0.037683262320780495,13.811814893277887,0.0014723918619696454,8.55,8.56,9.034,base,0.01,14311497200,14000000000,3,0.09940861853955837,"[3.2172601694981005, 5.074272248826789, 7.173595990266031]","[1.4485087372013543, 1.7276843511599893, 1.4134112539416548]","[0.3332380841165722, 0.33333933695788887, 0.3334225789255389]",0.01,30364651
pymc,1,24,303,1000303,1895,"(2.2308142332019427, 3.8684993430504564)",0.09125094492334315,14.353003406979628,0.0022369309592120907,4.26,4.26,3.929,acid,0.01,16411823000,16031250000,3,0.10297804710015013,"[3.247415021111187, 5.163786979220674, 7.066148900196515]","[1.3916194326218194, 1.7390203120428844, 1.4581926113842774]","[0.333346759308235, 0.3332672586431972, 0.33338598204856795]",9.36,30568469
pymc,1,25,404,1000404,2526,"(4.013748933379667, 6.305202195419911)",0.06057550926928873,8.196913859782544,0.000964762958648913,7.52,7.54,9.229,base,0.01,14705406300,14468750000,3,0.09542849756890265,"[3.4213161071897216, 5.222281825237539, 7.2338456737624135]","[1.4514244955349824, 1.6530578336002826, 1.3199101300743465]","[0.3330636992832189, 0.33333201454502387, 0.3336042861717573]",0.01,30671009
pymc,1,26,101,1000101,790,"(3.2212491755875794, 4.397944878175743, 5.705709342497994)",0.10511578831682555,10.040589617672065,0.0018810000150372016,4.77,4.77,5.288,base,0.01,13402735400,13046875000,2,0.10580278609620866,"[3.897577807100679, 6.508615638180504]","[1.7390498049293146, 1.7707787540438278]","[0.333289280728669, 0.33337306787383025, 0.33333765139750077]",0.01,30363546
pymc,1,27,404,1000404,2842,"(3.3468249997546864, 4.90622690602577)",0.08019315607628244,14.92059071560752,0.000752048154578938,3.52,3.52,3.018,acid,0.01,16714591000,16296875000,1,0.10276750212247453,[5.004032435659803],[2.1974093736788536],"[0.3334634553157905, 0.3333537066209861, 0.3331828380632234]",7.57,30671325
pymc,1,28,101,1000101,1264,"(6.7973720951131575,)",0.08518331841023738,9.126425985179107,0.00033617661635827707,6.68,6.68,3.077,acid,0.01,13699262600,13265625000,3,0.09926494900667503,"[3.5377197724336984, 5.454457827559604, 7.036312629011959]","[1.5144991050421663, 1.5581673866305021, 1.4798911942205637]","[0.3318027725191418, 0.3338812806312486, 0.3343159468496096]",1.09,30364020
pymc,1,29,404,1000404,2369,"(3.4685298447917976, 4.464249464873871, 6.257714329725227)",0.17314324298754255,10.953086867156621,0.0017232981870859364,3.86,3.86,2.885,acid,0.01,15589108900,15328125000,3,0.10317381940814406,"[3.362461779970644, 5.2542810658661, 7.088114125994997]","[1.3462543294928708, 1.5989611485060133, 1.4446429220945913]","[0.33342483443081955, 0.33275933146323106, 0.3338158341059494]",0.01,30670852
pymc,1,30,202,1000202,317,"(4.061330952453406, 5.2898756309050095)",0.10984958076855228,15.943517483958798,0.0011181023394541535,4.19,4.2,5.463,base,0.01,15662995000,14906250000,3,0.10606502803560253,"[3.4403821708642477, 5.336758100526251, 7.2303009526656385]","[1.3812595589594931, 1.6158767283128002, 1.3722923819297295]","[0.33221372964968665, 0.3338605336225402, 0.333925736727773]",0.01,30464982
pymc,1,31,404,1000404,2053,"(3.7919399778157334, 5.090196456682513, 6.81133974369312)",0.09329217892218565,11.904918287208844,0.001765092694227148,5.25,5.25,8.479,base,0.01,14242431400,13609375000,1,0.11071983464698003,[5.109212606017971],[2.211909427883956],"[0.333572156986022, 0.33351259406813843, 0.3329152489458395]",0.01,30670536
pymc,1,32,101,1000101,948,"(3.9535010118720386, 6.323210701345227)",0.03633027155734308,11.911834059883542,0.00034056598544781984,4.49,4.48,2.494,acid,0.01,16051911700,15453125000,3,0.10617594894074268,"[3.462114370197415, 5.3871876205437434, 7.294425507172585]","[1.5121745210884494, 1.6938875006863352, 1.4564180749980815]","[0.33276885901061465, 0.3330668312639269, 0.3341643097254584]",2.63,30363704
pymc,1,33,404,1000404,1895,"(2.3792584327893014,)",0.05903324062847452,8.314518573607039,4.7596328024483975e-05,1.97,1.97,3.622,base,0.01,14353774200,13953125000,3,0.1006342556640408,"[3.461155863755955, 5.211419996188064, 7.151690859208447]","[1.444609185366835, 1.6037910058258673, 1.411293950978719]","[0.3332412859524449, 0.33334764639382963, 0.33341106765372547]",4.61,30670378
pymc,1,34,555,1000555,1579,"(6.158636815286901,)",0.09407324280959979,12.651411335830586,0.00011460081660065973,5.19,5.19,5.963,base,0.01,16001739800,15468750000,3,0.10746385018129269,"[3.271869518162381, 5.254201220351337, 7.074409510168542]","[1.3989741854636966, 1.6425833490791832, 1.3664946311344635]","[0.33331287879744526, 0.33333240850491813, 0.3333547126976366]",0.01,30822421
pymc,1,35,303,1000303,2842,"(3.764556976769614, 5.3084541641996115)",0.07094098651869922,14.729803467616764,3.669221537996713e-05,2.63,2.63,3.771,base,0.01,15198162300,14265625000,3,0.10477902116709843,"[3.453532430834019, 5.30072069734222, 7.117894233842929]","[1.5570402370245398, 1.6716805313557828, 1.586462344804165]","[0.3331718334935077, 0.3333555461132451, 0.3334726203932472]",0.01,30569416
pymc,1,36,404,1000404,1737,"(3.968715075704214,)",0.049661237760811265,12.952998546260789,0.00016039069901837907,3.5,3.51,3.83,base,0.01,12985382100,12437500000,1,0.10022096153208332,[5.247102074809019],[2.1358528046986356],"[0.33336848679728004, 0.33332872183627543, 0.33330279136644453]",0.01,30670220
pymc,1,37,303,1000303,159,"(4.042140438985008,)",0.09873193342431864,9.742908207184485,0.0008767969510074327,5.06,5.05,4.744,acid,0.01,16013473700,15046875000,3,0.09866946865214872,"[3.3535924367923378, 5.173056860347562, 7.161769507191267]","[1.4570344215551452, 1.6089332747655685, 1.4887580362813773]","[0.3330127364428066, 0.3333211112695916, 0.3336661522876017]",0.01,30566733
pymc,1,38,101,1000101,317,"(2.547821426595555, 3.024634481078176)",0.04869886549526234,14.506773681834426,0.0009683928608489749,3.12,3.12,2.461,acid,0.01,13640921100,13015625000,1,0.10658598687332843,[5.455474447743018],[2.24488285786924],"[0.33361675004292807, 0.3333608660065984, 0.3330223839504735]",0.01,30363073
pymc,1,39,404,1000404,1,"(2.395542874288007,)",0.03435788244861229,15.157758840399428,0.0003867359966348887,2.94,2.94,3.143,base,0.01,13846111500,13296875000,3,0.10359655052167539,"[3.25305421514125, 5.115446121531955, 7.048065590263397]","[1.3170680208799384, 1.5538779283921824, 1.4024322308691468]","[0.33326091263722113, 0.3331615929956047, 0.33357749436717415]",2.97,30668484
pymc,1,40,404,1000404,1264,"(2.679114411154587, 4.623150612549284, 5.841311930268676)",0.04864077363440658,9.507057003784507,0.0013271626997182738,6.68,6.67,5.134,acid,0.01,13620883100,13390625000,2,0.09945847170397273,"[3.9998690721412555, 6.501668256010185]","[1.7503946002043422, 1.7237989801903442]","[0.333004333817612, 0.33351663139220883, 0.3334790347901792]",4.07,30669747
pymc,1,41,101,1000101,475,"(2.604648765231752, 4.94242753260208)",0.1401980227255406,11.141933438931382,0.0022169368947427596,4.81,4.81,5.474,base,0.01,16794218700,16406250000,2,0.1004253742083592,"[4.019483470806419, 6.51077097528616]","[1.7184707881073524, 1.8026556799332756]","[0.3332634044482425, 0.3333786165346035, 0.3333579790171541]",0.01,30363231
pymc,1,42,101,1000101,2053,"(2.2669148851510847, 2.6077817088635395, 2.847186129097305)",0.1304894682172804,10.709909396857928,0.0021951024671846525,2.62,2.62,4.456,base,0.01,12050800500,11312500000,3,0.10030981757546237,"[3.3384579226392557, 5.256070381060065, 7.174670105953416]","[1.5493746239568544, 1.718175312148457, 1.4114252339447124]","[0.3332321899791489, 0.33325505316276377, 0.3335127568580873]",0.01,30364809
pymc,1,43,202,1000202,159,"(3.9956567356854293, 5.291244606411548)",0.17248380139854214,14.907646527873439,0.0011547700594150233,3.86,3.87,5.408,base,0.01,14552363800,14406250000,3,0.09828247832377024,"[3.349188315026705, 5.067671520705432, 7.038565280166202]","[1.4069419749657344, 1.5811529294443187, 1.4436475863425926]","[0.3336838335267856, 0.33258918485374733, 0.3337269816194671]",0.01,30464824
pymc,1,44,404,1000404,632,"(7.2505340657266695,)",0.16895321402007207,14.894650935118984,0.0013673210938666012,7.33,7.33,4.493,acid,0.01,13097231400,13046875000,2,0.10926511598628504,"[3.961575987266108, 6.437822477089512]","[1.6979126262016804, 1.6967042179042897]","[0.33324703310855097, 0.33340353759559527, 0.3333494292958538]",0.92,30669115
pymc,1,45,404,1000404,1422,"(6.979524355238352,)",0.056811695021597546,8.835954749710197,0.0002036263733566515,6.81,6.82,7.397,base,0.01,16056249200,15781250000,2,0.10260812696250604,"[4.005958409357185, 6.55500527021462]","[1.8760387689016083, 1.7404307763054294]","[0.33058369999071546, 0.33484989016518174, 0.33456640984410285]",0.01,30669905
pymc,1,46,101,1000101,1422,"(3.0721435154223338, 4.2857132774621505)",0.11605700207995368,14.999066490187852,0.0011498481593319966,3.24,3.24,3.569,base,0.01,14588607400,14437500000,2,0.09870775478637342,"[3.923315304348113, 6.310898377547005]","[1.7326814680055094, 1.7590644870849772]","[0.33347361954907717, 0.333517579910221, 0.33300880054070187]",0.01,30364178
pymc,1,47,202,1000202,475,"(3.361182545251126, 5.7103982333598555)",0.09227389968443848,15.094325219636204,0.0011499851315923612,3.99,3.99,7.921,base,0.01,15257730200,15000000000,3,0.1012026418716345,"[3.3240440907723663, 5.210289941982461, 7.141310288101055]","[1.4836886352249234, 1.744258862923744, 1.483946970305913]","[0.33353533872829544, 0.33284022692372356, 0.3336244343479811]",0.01,30465140
pymc,1,48,101,1000101,159,"(5.110597024908919,)",0.08281932463450377,12.977927445262102,0.0006028014458778654,5.22,5.22,8.932,base,0.01,16860854800,16703125000,3,0.10227424524678608,"[3.209894747560574, 5.151748302347885, 7.00326546207004]","[1.400547230502296, 1.653134697415557, 1.4980398802740245]","[0.33256739576906674, 0.33341496204769777, 0.33401764218323543]",0.01,30362915
pymc,1,49,303,1000303,1422,"(4.7047811494863705, 6.200951787846143)",0.10949471867128201,10.024959237256653,0.00015380201662782664,3.92,3.91,2.333,acid,0.01,13762749500,13562500000,1,0.09772760129621542,[5.1672455337411245],[2.0977050500008754],"[0.3333769740038412, 0.3333293447493561, 0.3332936812468027]",2.08,30567996
pymc,1,50,303,1000303,1264,"(2.6094581217533745, 3.7950267765752908, 5.531304543314491)",0.030189539759761057,12.37138369148207,0.0006686918327864607,4.28,4.27,3.92,acid,0.01,14621869100,14500000000,3,0.10280732082900372,"[3.3340784428652652, 5.151735475586787, 7.062542662749691]","[1.4457047895501343, 1.7106381807722861, 1.6312341053855928]","[0.333235023423103, 0.33221600245735766, 0.33454897411953943]",0.01,30567838
pymc,1,51,404,1000404,1579,"(3.4282883076921236, 5.628727942827487, 6.751457386671085)",0.03104250890631701,13.69454338688585,0.0012541151215404907,8.03,8.01,7.546,acid,0.01,14496322100,14375000000,1,0.09696268114364898,[5.184893385230879],[2.0712767175770557],"[0.3337531766951491, 0.3326630767941859, 0.333583746510665]",0.01,30670062
pymc,1,52,555,1000555,1895,"(2.310890222752545,)",0.050234131575798514,13.514012639903875,0.00039970836398358825,2.57,2.57,4.682,base,0.01,15423014100,15375000000,3,0.10651636338488372,"[3.354864980447032, 5.289961793434421, 7.216012086104422]","[1.375751948175867, 1.6459868322450713, 1.4726913203790468]","[0.333164209677581, 0.3333768376829911, 0.33345895263942793]",0.01,30822737
pymc,1,53,303,1000303,3000,"(3.2192514785438116, 4.427090391909266, 6.077683835702965)",0.07118105653668573,15.842167462639406,5.449076150920436e-05,2.33,2.33,3.311,base,0.01,16095024400,15671875000,3,0.10554283407726561,"[3.3658752502812357, 5.290219575143714, 7.0782055661350824]","[1.5131680986715856, 1.6740961184203798, 1.4424577330917272]","[0.33326442016527286, 0.3333405234305338, 0.33339505640419326]",7.29,30569574
pymc,1,54,202,1000202,2842,"(3.601173651399014, 5.249317365279029, 6.210892048479246)",0.15800088798482254,14.25202635658351,0.001228265934737013,3.65,3.65,5.173,base,0.01,12650095300,12593750000,3,0.105133323941073,"[3.314460848750081, 5.21509373733926, 6.895969434773307]","[1.4204277964059486, 1.747748853740425, 1.621011664819784]","[0.3332980253781863, 0.33334883282694316, 0.3333531417948705]",9.86,30467507
pymc,1,55,202,1000202,948,"(3.559029132946093, 5.769850237658069, 7.9458048136920905)",0.06801700095076234,9.32123248645031,0.00012702215864195622,3.0,3.0,3.693,base,0.01,12360451500,12250000000,3,0.10947803226648456,"[3.378371052468274, 5.138767483332046, 7.080926897279922]","[1.448764390370412, 1.6392802565914442, 1.4569876594840205]","[0.333304841066067, 0.33334263664947517, 0.3333525222844577]",5.88,30465613
pymc,1,56,555,1000555,632,"(4.446910261108392, 5.860245765079793)",0.11825068905687264,11.3134480068266,0.002497196864024699,6.68,6.68,8.183,base,0.01,14644812200,14546875000,2,0.09960477295940325,"[3.8487170206941825, 6.508834584460638]","[1.7486618363585225, 1.8445979014071654]","[0.3328004146479935, 0.3336118524142656, 0.3335877329377409]",0.01,30821474
pymc,1,57,101,1000101,1737,"(3.8127688093499366,)",0.05028484779423099,15.505210076711563,0.0005010003631944423,4.07,4.07,5.119,base,0.01,14612513800,14531250000,3,0.10435232114762694,"[3.3615522295835003, 5.255503081998564, 7.190413037480057]","[1.4985428905146945, 1.6565127356677143, 1.4850908410819939]","[0.3331590321939583, 0.3333356724082828, 0.3335052953977589]",0.01,30364493
pymc,1,58,555,1000555,2526,"(3.049030429638447,)",0.1719539599434053,14.137560166821967,0.0013123828950454535,3.13,3.13,4.733,base,0.01,12397755600,12250000000,1,0.10320114218107221,[5.554108836253651],[2.149595462020829],"[0.3334491330831959, 0.3334277954012483, 0.3331230715155558]",0.01,30823368
pymc,1,59,303,1000303,2369,"(5.037185640865046,)",0.08291712917611893,8.59452891967884,0.00040240344268617923,5.15,5.15,3.969,acid,0.01,13186623500,13078125000,3,0.10551597934903019,"[3.268338457050979, 5.115364087265275, 7.107992435293514]","[1.4084337894953858, 1.7059626218799087, 1.5382816815256917]","[0.332297049955511, 0.3335636107757404, 0.33413933926874867]",0.01,30568943
pymc,1,60,303,1000303,790,"(2.2399263218226997, 3.658828950521066)",0.14885456516877088,14.838601555415263,0.0015395909079044523,2.52,2.52,2.018,acid,0.01,13307536200,13140625000,2,0.1070746554576258,"[3.911678568221213, 6.475601795007914]","[1.7240014933682708, 1.7667053512823818]","[0.33324785274480756, 0.3335995115079691, 0.33315263574722337]",0.01,30567364
pymc,1,61,303,1000303,1106,"(3.606903236044145, 5.536995817388389)",0.07426201718906171,10.512443529231064,4.673210799807045e-05,2.61,2.62,3.737,base,0.01,16136924200,15625000000,1,0.10064255925864532,[5.24240414155364],[2.196955034738407],"[0.3334029161983126, 0.33332552337222593, 0.3332715604294615]",0.01,30567680
pymc,1,62,101,1000101,2211,"(6.9586759113359165,)",0.06692298381776815,10.753156834113902,0.00040512674754783685,7.07,7.07,6.632,acid,0.01,14596525000,14390625000,3,0.10780958594286467,"[3.4362609135252797, 5.319414908706181, 7.151730228858908]","[1.5138322354244922, 1.6646901657575983, 1.4370195959749505]","[0.33241673272095895, 0.33375580129482085, 0.3338274659842204]",0.01,30364967
pymc,1,63,555,1000555,1264,"(1.8352311696827652, 3.6116536722951755)",0.0508601498163102,14.004102559697698,0.0013198774593016715,4.38,4.39,6.678,base,0.01,14008256000,13812500000,3,0.10555103049752698,"[3.465990507494745, 5.435714666025434, 7.165249999232532]","[1.46935497408476, 1.7247211425421483, 1.4740984547879326]","[0.33298806348902715, 0.3334388145337726, 0.33357312197720007]",0.01,30822106
pymc,1,64,404,1000404,3000,"(3.291273836367277, 3.7712920518616246, 4.013835323248265)",0.031043351915272348,14.146798165018577,0.0002454878545477993,3.14,3.14,2.799,acid,0.01,12445868300,12328125000,3,0.10263176873010382,"[3.522931822846918, 5.33408228709334, 7.076660530431837]","[1.4567253528811799, 1.667018325494919, 1.5090741373575638]","[0.3333140343593513, 0.33333818885881505, 0.3333477767818336]",0.36,30671483
pymc,1,65,555,1000555,2684,"(3.9806547984579312,)",0.04991056394861833,12.247648736965607,0.0004741763325461402,4.52,4.53,6.299,base,0.01,13668914200,13250000000,3,0.10573884170149407,"[3.3925265478177056, 5.295664133827249, 6.977219507425743]","[1.5603286588677963, 1.7599366947798794, 1.531483179126339]","[0.33189354219625355, 0.3339138206278918, 0.3341926371758546]",0.01,30823526
pymc,1,66,101,1000101,2526,"(2.4404259545988514, 4.302645595920821, 5.898115404874311)",0.06125656029329333,11.161570857360296,0.00030684106593085824,2.44,2.44,1.868,acid,0.01,14610551200,14500000000,3,0.10252689988770451,"[3.365568165584719, 5.181860437236692, 7.089185983043724]","[1.4562886443945404, 1.64394408004335, 1.411840508944485]","[0.3307354473949108, 0.3345458274417874, 0.33471872516330176]",4.88,30365282
pymc,1,67,404,1000404,317,"(3.327423268174809, 5.3234357144786335, 7.624800545577019)",0.0648619307527631,14.172371306844953,0.0016281926723388585,5.82,5.82,4.604,acid,0.01,13925323200,13859375000,1,0.10115718466378862,[5.184323181295069],[2.057102745716027],"[0.33337960523990146, 0.33328987395307635, 0.33333052080702225]",0.01,30668800
pymc,1,68,555,1000555,475,"(5.946298894981457,)",0.09347923672506389,10.629534213079303,0.0006192493455557991,6.16,6.17,7.891,base,0.01,14498710200,14437500000,3,0.10194343660625273,"[3.2820761082852434, 5.122531110043453, 7.021543288635632]","[1.3509052439041722, 1.6370336043723734, 1.5382790649005926]","[0.33262852820217226, 0.33351379092479794, 0.33385768087302997]",0.01,30821317
pymc,1,69,303,1000303,317,"(4.2849469089844305, 6.466808153718205)",0.15475235944295154,11.851634955967324,0.0008703248773094726,4.23,4.23,7.283,base,0.01,12355225500,12265625000,2,0.10212775592804778,"[4.095282119181227, 6.396701448111772]","[1.771672335145887, 1.7665106988813895]","[0.33302038501350906, 0.33354469941235404, 0.33343491557413696]",0.01,30566891
pymc,1,70,555,1000555,2369,"(7.939625416189755,)",0.07588280655640195,11.342426485615569,5.2704745221447054e-05,6.75,6.76,7.719,base,0.01,14462456600,14328125000,1,0.1074295470373011,[5.263449488205647],[2.236618506609552],"[0.3333960070672438, 0.3333282806090056, 0.3332757123237507]",0.01,30823211
pymc,1,71,303,1000303,632,"(8.322664072743997,)",0.04376434453172055,11.719774137592578,8.381872943547515e-05,7.61,7.61,3.977,acid,0.01,13790529300,13687500000,3,0.10103600886826815,"[3.4673900337079204, 5.323650455266863, 7.168969235687479]","[1.4548482191475054, 1.648738703516626, 1.4195470109955566]","[0.3332966918594901, 0.33334196490784423, 0.3333613432326656]",0.01,30567206
pymc,1,72,202,1000202,1737,"(7.804540119936352,)",0.08422844038466198,10.311832880479015,0.000507203871381264,7.95,7.95,8.355,base,0.01,13817562400,13640625000,2,0.0982634133173612,"[4.073392479712065, 6.654434488136317]","[1.8960377455841118, 1.794217510006885]","[0.3326071492082076, 0.3337533193379841, 0.33363953145380815]",0.01,30466402
