Experiment,Acid_Type,Acid_Params,Initial_pH,Target_pH,Final_pH,Steps_Taken,Success
134,diprotic,"[2.1449160307998394, 5.581010575870026]",2.10,5.17,5.09,4,Yes
135,monoprotic,4.96,2.44,7.21,7.22,9,Yes
136,diprotic,"[2.6765649329217527, 5.72202401332156]",2.23,4.84,4.85,3,Yes
137,triprotic,"[3.535466210416905, 5.385144755295962, 6.955172932940887]",2.46,8.29,8.35,7,Yes
138,monoprotic,3.22,1.60,3.56,3.47,4,Yes
139,triprotic,"[2.0290802241569565, 4.512525029323902, 6.749704287870458]",2.17,10.95,11.00,5,Yes
140,monoprotic,3.53,2.25,5.54,5.53,8,Yes
141,diprotic,"[3.4953811627350104, 6.2203656488036065]",2.32,10.48,10.55,9,Yes
142,diprotic,"[2.2998694608163737, 5.5444763533303165]",1.68,2.47,2.41,6,Yes
143,diprotic,"[2.7657255457980057, 5.250398520026473]",2.43,7.23,7.21,10,Yes
144,diprotic,"[3.4106566466568244, 4.344675876495305]",2.28,10.62,10.61,10,Yes
145,monoprotic,4.25,3.06,2.07,1.98,3,Yes
146,diprotic,"[2.4554731940376895, 5.691037789245068]",1.93,10.46,10.54,9,Yes
147,triprotic,"[2.686636803234627, 4.851256440738037, 7.022082290998711]",1.64,7.75,7.69,9,Yes
148,monoprotic,2.95,1.73,4.89,4.92,10,Yes
149,triprotic,"[2.203434337473189, 4.535279238364787, 7.456337268224137]",1.74,8.60,8.58,7,Yes
150,monoprotic,4.99,2.26,10.15,10.22,7,Yes
151,diprotic,"[3.195334883812359, 4.863666462320882]",1.63,7.66,7.60,17,Yes
152,triprotic,"[3.1177274014410346, 4.098424463537716, 7.264173777785588]",3.04,3.96,3.88,33,Yes
153,monoprotic,3.43,1.77,3.62,3.55,4,Yes
154,monoprotic,4.12,1.90,6.57,6.56,7,Yes
155,triprotic,"[3.3116736071951607, 5.67915782200538, 7.432313632697419]",1.59,6.85,6.78,8,Yes
156,diprotic,"[3.428931462025082, 6.444733486145891]",1.80,6.09,6.03,5,Yes
157,diprotic,"[2.4198052644051407, 6.484881229887314]",2.00,10.25,10.19,9,Yes
158,diprotic,"[2.4365790070042737, 4.35167187588432]",2.70,4.41,4.35,35,Yes
159,triprotic,"[3.3721314410372134, 5.289651491200498, 6.428839858446661]",2.22,8.49,8.56,12,Yes
160,triprotic,"[2.2157596840309624, 5.410224721654873, 7.026337704117462]",1.69,4.84,4.76,4,Yes
161,triprotic,"[3.923732063462901, 4.308471915002287, 6.650258445513031]",2.35,9.42,9.36,14,Yes
162,monoprotic,3.93,2.02,6.44,6.49,8,Yes
163,triprotic,"[2.514647596312837, 4.927008161901063, 7.989918761013268]",1.98,2.98,2.90,6,Yes
164,monoprotic,2.54,2.42,8.15,7.52,50,No
165,diprotic,"[2.253368622947236, 4.064702808380446]",2.33,3.35,3.26,26,Yes
166,triprotic,"[2.1066534204342195, 5.339122798930199, 6.950827942020794]",1.82,10.75,10.67,11,Yes
167,triprotic,"[3.7036085741337326, 5.43161955837521, 7.064182416779293]",1.58,2.43,2.39,4,Yes
168,monoprotic,5.64,2.40,2.99,2.97,9,Yes
169,monoprotic,3.75,1.98,2.43,2.45,3,Yes
170,diprotic,"[3.8146574527780572, 5.072948841434961]",2.05,9.06,9.00,22,Yes
171,triprotic,"[2.5311732963471094, 5.979771517890134, 7.82438195224243]",2.66,2.25,2.19,9,Yes
172,triprotic,"[3.33688000372561, 5.13281588575312, 7.820031546976014]",2.06,9.41,9.37,10,Yes
173,triprotic,"[3.1192003497230956, 5.460542988293023, 7.095385704679609]",2.61,4.41,4.40,5,Yes
174,monoprotic,3.17,2.04,10.94,10.94,7,Yes
175,diprotic,"[3.8268903657404194, 4.034369594349517]",1.78,2.40,2.36,4,Yes
176,triprotic,"[3.152906906477539, 5.8847514824824145, 6.440232819738031]",1.95,10.68,10.63,11,Yes
177,triprotic,"[2.1440292357327975, 4.075710514966712, 6.4897593322740645]",2.27,7.12,7.06,9,Yes
178,diprotic,"[3.9111907693909886, 5.858210662809132]",2.10,5.63,5.54,6,Yes
179,triprotic,"[3.2724252441757518, 5.728788964090906, 6.669813698996715]",3.30,10.31,10.31,15,Yes
180,triprotic,"[3.6054920911338773, 5.676728575304484, 7.522259959441741]",3.47,2.34,2.28,4,Yes
181,diprotic,"[2.5277057945913253, 6.157198788845152]",2.62,7.25,7.22,6,Yes
182,monoprotic,3.95,1.79,3.80,3.89,1,Yes
183,triprotic,"[3.235967493202655, 5.092259914511712, 7.8142622471282746]",2.19,10.11,10.04,13,Yes
184,triprotic,"[3.2414862646910407, 4.738488595129807, 6.571742831827685]",1.93,10.93,11.02,7,Yes
185,diprotic,"[2.4767800881461, 6.200194994376189]",2.46,7.17,7.14,6,Yes
186,monoprotic,4.63,2.86,2.92,2.87,1,Yes
187,monoprotic,5.96,2.18,4.87,4.94,6,Yes
188,diprotic,"[2.546575501424803, 6.738528696512618]",3.36,3.70,2.50,50,No
189,triprotic,"[3.550776990709725, 5.122391308012976, 6.385496178313892]",1.71,9.81,9.81,15,Yes
190,diprotic,"[3.4220482329223563, 4.026635340610427]",1.97,7.77,7.72,27,Yes
191,monoprotic,2.62,2.46,5.23,5.21,12,Yes
192,diprotic,"[3.7789347239534425, 6.882298086410348]",1.96,4.32,4.28,5,Yes
193,monoprotic,4.24,1.89,2.41,2.47,5,Yes
194,diprotic,"[2.251958099853876, 6.75069523280717]",2.95,5.79,5.71,11,Yes
195,diprotic,"[3.198723997518621, 4.075175616888309]",1.63,6.42,6.34,9,Yes
196,triprotic,"[2.2408170053282594, 5.060560390982136, 6.549990544449081]",1.61,8.69,8.73,13,Yes
197,triprotic,"[3.7853249966215463, 5.3402816538267, 6.320528435799972]",1.88,2.66,2.69,3,Yes
198,triprotic,"[3.9545934580887447, 4.982643596735733, 6.04853030572689]",1.95,5.37,5.28,11,Yes
199,monoprotic,2.96,2.29,8.25,7.72,50,No
200,monoprotic,2.64,2.08,9.25,9.18,24,Yes
201,diprotic,"[3.397407243767545, 4.522136984377348]",2.08,3.92,3.85,8,Yes
202,triprotic,"[2.355546080011404, 4.197294268081205, 6.332088627702836]",1.92,10.76,10.81,8,Yes
203,triprotic,"[3.3791149138954513, 4.5712999827030085, 7.8098892171329775]",1.92,6.48,6.54,6,Yes
204,diprotic,"[2.6110209607800234, 5.111237973145777]",2.47,8.68,8.77,13,Yes
205,triprotic,"[2.8560643628407494, 5.311629605861734, 6.194927073385145]",1.94,5.29,5.22,8,Yes
206,monoprotic,2.39,2.54,10.61,10.66,10,Yes
207,monoprotic,5.74,1.77,2.48,2.46,6,Yes
208,triprotic,"[3.918837157670814, 4.231433622694635, 7.355190312958571]",2.12,6.41,6.45,5,Yes
209,triprotic,"[3.2690739204805794, 5.05207234855479, 6.831316330217998]",2.25,2.94,2.85,3,Yes
210,monoprotic,2.90,2.15,6.83,6.95,50,No
211,monoprotic,2.08,2.99,10.21,10.15,13,Yes
212,monoprotic,3.54,1.93,10.12,10.11,12,Yes
213,diprotic,"[3.3460216990427263, 5.768793728417009]",2.00,9.85,9.86,13,Yes
214,monoprotic,5.49,2.15,9.63,9.55,20,Yes
215,monoprotic,5.33,1.65,4.70,4.78,5,Yes
216,monoprotic,3.89,2.24,3.92,3.83,3,Yes
217,diprotic,"[2.4075816713259925, 6.6755189655754155]",2.75,4.64,4.66,23,Yes
218,triprotic,"[2.8138904413582315, 4.598283946548165, 6.741758527476161]",1.85,5.35,5.30,8,Yes
219,monoprotic,3.99,1.66,10.60,10.52,11,Yes
220,triprotic,"[2.6201920208594944, 4.101151511399258, 6.8941542582242334]",2.03,4.05,3.96,8,Yes
221,triprotic,"[2.2991847974988935, 4.0880889626731545, 7.567691032329124]",2.01,2.79,2.74,19,Yes
222,diprotic,"[2.321871004011826, 5.36618143327671]",1.90,6.80,6.81,7,Yes
223,diprotic,"[2.6721629052873697, 5.902143943925011]",2.30,7.15,7.13,5,Yes
224,triprotic,"[3.9323402632102096, 4.48413893056823, 7.820292518420093]",2.34,5.87,5.96,6,Yes
225,triprotic,"[3.4553064554363644, 4.32536352299621, 7.028578241624044]",1.72,7.78,7.75,9,Yes
226,triprotic,"[3.5856805242000007, 5.8260470933637185, 6.908880782531936]",2.01,7.69,7.65,10,Yes
227,triprotic,"[3.9784051193008487, 5.239004617194226, 7.834876823215197]",3.12,6.19,6.10,7,Yes
228,triprotic,"[3.520681537860578, 4.773901153732567, 6.984331615470485]",2.45,5.66,5.61,8,Yes
229,monoprotic,5.14,1.93,9.52,9.48,14,Yes
230,monoprotic,2.55,2.25,10.31,10.37,14,Yes
231,monoprotic,2.37,2.07,3.86,3.83,5,Yes
232,monoprotic,4.12,2.11,9.82,9.73,10,Yes
233,diprotic,"[3.769967383042026, 6.842389934648843]",1.95,9.73,9.77,13,Yes
234,triprotic,"[2.645181410027152, 4.5546875483447335, 7.707219152576332]",2.11,4.21,4.12,6,Yes
235,monoprotic,3.17,2.82,10.72,10.67,9,Yes
236,triprotic,"[3.864868767444923, 5.741593132677771, 6.276707945858613]",2.36,10.61,10.70,9,Yes
237,monoprotic,3.89,2.14,8.24,8.20,14,Yes
238,monoprotic,4.66,2.15,6.27,6.33,7,Yes
239,monoprotic,5.90,2.76,8.63,8.61,17,Yes
240,diprotic,"[2.1814226851891245, 6.59616892162565]",3.00,5.43,5.42,25,Yes
241,monoprotic,3.92,1.78,2.06,2.14,9,Yes
242,diprotic,"[3.259981918779963, 5.59117541760758]",3.24,6.65,2.56,50,No
243,diprotic,"[3.504565137925626, 5.417443608110425]",1.59,4.21,4.13,5,Yes
244,triprotic,"[2.2664246475457173, 4.578969587224759, 7.415872956824515]",3.37,5.47,1.75,50,No
245,monoprotic,2.82,2.19,5.28,5.27,13,Yes
246,diprotic,"[3.4248859768266207, 6.516263911703488]",1.86,10.99,10.91,8,Yes
247,diprotic,"[2.3988425468000147, 6.822028605931577]",1.90,6.84,6.75,5,Yes
248,triprotic,"[3.156475482214585, 5.251644569411326, 6.746775992939385]",2.79,8.39,8.42,8,Yes
249,monoprotic,3.92,2.44,7.32,7.35,19,Yes
250,monoprotic,2.82,3.29,10.39,10.43,7,Yes
251,diprotic,"[3.803482022340397, 5.499235317046304]",3.21,4.61,4.53,6,Yes
252,diprotic,"[2.0332840252181734, 4.410873711278322]",3.13,4.39,4.32,36,Yes
253,triprotic,"[2.6435156507538737, 4.993316431769479, 7.425971634406022]",1.86,10.77,10.69,9,Yes
254,monoprotic,4.51,2.53,10.76,10.79,10,Yes
255,diprotic,"[2.9224471489316306, 6.194489606291463]",1.75,2.70,2.61,3,Yes
256,triprotic,"[3.2627329751469136, 5.397445565806413, 6.035803344347833]",2.45,4.08,4.05,6,Yes
257,triprotic,"[2.6031629209689378, 4.769264906469148, 7.580447849980459]",2.50,6.32,6.28,5,Yes
258,diprotic,"[2.038048747467353, 5.899826971966739]",2.39,3.23,2.21,50,No
259,diprotic,"[3.402601581930928, 6.243725942468892]",1.95,9.80,9.76,13,Yes
260,diprotic,"[2.691220008231308, 4.366857359953334]",1.74,7.51,7.55,25,Yes
261,monoprotic,2.65,2.47,3.72,3.70,22,Yes
262,monoprotic,2.88,2.16,10.90,10.88,7,Yes
263,monoprotic,4.68,2.76,5.19,5.11,4,Yes
264,triprotic,"[2.9078237109550678, 5.428817529537073, 7.996988040628482]",2.40,3.52,3.46,6,Yes
265,monoprotic,2.24,1.81,3.18,3.10,5,Yes
266,triprotic,"[2.606537232363168, 5.930500584373931, 6.139837590296425]",3.49,2.97,1.92,50,No
267,triprotic,"[3.3894308460141316, 4.507913869820892, 6.6691306460429844]",3.42,9.53,9.51,14,Yes
268,diprotic,"[3.299640283348728, 5.553062332356598]",1.67,5.53,5.47,7,Yes
269,triprotic,"[2.828050073909722, 5.403075505317251, 6.838908252311164]",2.31,9.45,9.38,11,Yes
270,monoprotic,3.98,2.60,7.89,7.91,19,Yes
271,triprotic,"[3.737823304842574, 5.439172914289426, 6.203124009396957]",2.02,7.31,7.34,9,Yes
272,monoprotic,5.55,2.00,6.71,6.77,3,Yes
273,monoprotic,4.10,1.82,5.53,5.56,5,Yes
274,triprotic,"[3.0127693082560523, 5.646546212134146, 7.185662142204505]",1.62,3.60,3.53,5,Yes
275,triprotic,"[2.506885338609022, 4.944159723511611, 7.3307973292708395]",2.26,3.60,3.55,5,Yes
276,monoprotic,4.14,1.68,9.84,9.90,9,Yes
277,diprotic,"[3.3285220491124994, 6.550110430603725]",2.43,3.96,3.88,5,Yes
278,diprotic,"[3.8339528772528486, 6.5011492711721095]",2.43,7.47,7.41,6,Yes
279,diprotic,"[3.6149600950170915, 5.074702425656951]",1.79,6.63,6.53,7,Yes
280,monoprotic,5.03,1.93,7.81,7.77,14,Yes
281,triprotic,"[2.911977577939523, 4.944175539789051, 6.391075692063913]",2.39,4.06,4.02,6,Yes
282,triprotic,"[2.6384628796330656, 4.283008123301523, 7.424680751624839]",1.74,8.61,8.63,7,Yes
283,diprotic,"[3.553429151181928, 5.789487380345609]",1.85,2.81,2.90,3,Yes
284,diprotic,"[2.989120019243713, 5.491624702468096]",2.41,7.43,7.38,12,Yes
285,diprotic,"[2.9328231702286045, 4.112196052546723]",3.45,8.79,8.31,50,No
286,triprotic,"[3.3570646880365964, 4.153721029387988, 6.163625354086282]",3.29,5.33,2.35,50,No
287,diprotic,"[2.6222563405095327, 5.950250426664374]",3.04,10.24,10.16,14,Yes
288,diprotic,"[2.255706178527373, 4.068126010498514]",1.86,4.10,4.04,8,Yes
289,triprotic,"[2.4557832743111154, 5.254115432500742, 7.95161377530768]",1.70,4.30,4.20,3,Yes
290,monoprotic,3.70,3.18,5.10,5.07,5,Yes
291,diprotic,"[3.6062227522015293, 5.768734156037959]",2.29,5.98,5.89,7,Yes
292,diprotic,"[2.95442981396255, 5.125036571556597]",2.12,4.52,4.43,5,Yes
293,diprotic,"[3.0446172215229867, 4.3294537710905034]",3.25,3.90,3.27,50,No
294,diprotic,"[2.1088212778598363, 4.529684763373035]",1.74,2.43,2.34,6,Yes
295,monoprotic,4.32,1.76,9.20,9.15,23,Yes
296,diprotic,"[3.088424379279073, 5.5304131915435635]",1.73,3.72,3.65,5,Yes
297,monoprotic,2.52,1.70,2.69,2.60,5,Yes
298,monoprotic,2.07,1.70,7.62,8.43,50,No
299,diprotic,"[2.372347798953394, 6.532104641287239]",2.57,5.84,5.84,3,Yes
300,triprotic,"[3.7860685573810366, 5.2971734683650915, 7.677060301070569]",1.70,4.09,4.00,4,Yes
301,monoprotic,3.23,1.59,5.78,5.80,12,Yes
302,monoprotic,3.10,2.09,6.78,6.85,18,Yes
303,triprotic,"[3.8309740099263374, 5.440671848853293, 7.527900310896085]",2.18,10.35,10.33,11,Yes
304,monoprotic,3.07,1.70,8.77,8.74,19,Yes
305,triprotic,"[3.309382247406948, 4.556057827880807, 7.894163893712916]",2.29,4.56,4.48,9,Yes
306,triprotic,"[3.0828208519603093, 5.541818113119794, 6.362463166040634]",2.32,4.39,4.29,4,Yes
307,triprotic,"[3.175714740348539, 4.646313935650658, 6.4219319787076685]",1.91,6.32,6.23,9,Yes
308,monoprotic,3.97,1.70,7.08,7.01,8,Yes
309,monoprotic,3.98,1.62,4.18,4.10,2,Yes
310,diprotic,"[3.404544263278207, 5.986074210017466]",3.44,3.42,2.38,50,No
311,monoprotic,5.72,2.02,7.62,7.68,4,Yes
312,diprotic,"[2.7375246510691023, 6.916069259974577]",1.59,4.63,4.54,4,Yes
313,monoprotic,4.14,2.03,6.71,6.70,15,Yes
314,diprotic,"[2.442585263402295, 6.115326125847391]",2.26,6.83,6.79,7,Yes
315,diprotic,"[2.862367946723014, 5.741597543549158]",1.92,10.48,10.48,8,Yes
316,diprotic,"[2.73414140694614, 4.066016151763132]",2.42,3.08,2.99,18,Yes
317,monoprotic,5.15,2.69,2.77,2.82,5,Yes
